Instrument,Date,Close,Open,High,Low,Change,Pct_Chg,Volume,AMount,Turnover_rate
000300.SH,2008-01-02,5385.1,5349.76,5404.93,5283.45,46.83,0.88,456687.0,9888640.0,1.76
000300.SH,2008-01-03,5422.03,5381.15,5422.67,5315.95,36.93,0.69,646459.0,13598300.0,2.49
000300.SH,2008-01-04,5483.65,5430.63,5499.09,5422.46,61.62,1.14,517464.0,11886600.0,1.99
000300.SH,2008-01-07,5556.59,5480.44,5569.15,5455.5,72.94,1.33,534854.0,12319000.0,2.05
000300.SH,2008-01-08,5528.05,5575.95,5630.62,5485.23,-28.54,-0.51,648995.0,14797600.0,2.49
000300.SH,2008-01-09,5613.76,5507.12,5614.68,5490.31,85.7,1.55,467969.0,10836800.0,1.79
000300.SH,2008-01-10,5672.15,5631.65,5707.67,5602.59,58.4,1.04,642299.0,14431600.0,2.45
000300.SH,2008-01-11,5699.15,5688.56,5702.57,5629.64,26.99,0.48,561671.0,12224200.0,2.14
000300.SH,2008-01-14,5731.76,5717.53,5756.92,5679.29,32.61,0.57,498460.0,10935600.0,1.9
000300.SH,2008-01-15,5696.45,5743.43,5754.11,5652.04,-35.31,-0.62,508866.0,11967300.0,1.94
000300.SH,2008-01-16,5505.72,5642.57,5642.57,5498.39,-190.73,-3.35,557745.0,12663500.0,2.13
000300.SH,2008-01-17,5365.62,5445.8,5533.65,5226.64,-140.09,-2.54,619369.0,13605200.0,2.36
000300.SH,2008-01-18,5414.47,5358.18,5419.57,5307.5,48.84,0.91,439130.0,9508090.0,1.67
000300.SH,2008-01-21,5145.73,5424.64,5434.35,5122.46,-268.73,-4.96,478336.0,10154000.0,1.82
000300.SH,2008-01-22,4753.87,5015.43,5032.25,4708.39,-391.87,-7.62,607727.0,12602900.0,2.32
000300.SH,2008-01-23,4975.11,4787.17,4976.27,4751.5,221.24,4.65,557764.0,11100600.0,2.13
000300.SH,2008-01-24,5027.21,5034.53,5079.8,4926.37,52.1,1.05,566060.0,11416900.0,2.16
000300.SH,2008-01-25,5077.43,5022.9,5121.41,4966.52,50.22,1.0,471421.0,10068000.0,1.79
000300.SH,2008-01-28,4731.88,5038.51,5038.51,4711.28,-345.55,-6.81,414253.0,8146070.0,1.57
000300.SH,2008-01-29,4762.08,4742.9,4845.66,4688.73,30.2,0.64,290623.0,5804060.0,1.1
000300.SH,2008-01-30,4710.65,4817.16,4858.1,4606.14,-51.43,-1.08,340990.0,7221920.0,1.3
000300.SH,2008-01-31,4620.4,4693.61,4733.7,4614.28,-90.25,-1.92,308526.0,6431170.0,1.17
000300.SH,2008-02-01,4571.95,4623.62,4660.99,4414.12,-48.46,-1.05,351255.0,6794150.0,1.33
000300.SH,2008-02-04,4950.12,4695.55,4951.25,4695.55,378.18,8.27,409531.0,8566040.0,1.55
000300.SH,2008-02-05,4921.83,4942.88,4995.57,4878.12,-28.29,-0.57,327964.0,7062610.0,1.22
000300.SH,2008-02-13,4816.08,4858.81,4883.24,4785.8,-105.74,-2.15,214757.0,4327170.0,0.8
000300.SH,2008-02-14,4880.25,4858.85,4913.32,4842.85,64.17,1.33,198378.0,4015280.0,0.74
000300.SH,2008-02-15,4813.31,4846.02,4846.02,4742.1,-66.94,-1.37,242626.0,4729880.0,0.9
000300.SH,2008-02-18,4910.99,4875.22,4944.88,4845.31,97.68,2.03,305901.0,6184460.0,1.13
000300.SH,2008-02-19,5020.75,4926.84,5020.75,4885.7,109.76,2.24,361770.0,7420780.0,1.34
000300.SH,2008-02-20,4908.72,5032.78,5062.26,4901.66,-112.04,-2.23,395577.0,8498090.0,1.47
000300.SH,2008-02-21,4876.03,4878.57,4924.45,4796.1,-32.69,-0.67,334036.0,6793210.0,1.24
000300.SH,2008-02-22,4702.24,4850.88,4850.88,4649.81,-173.79,-3.56,379186.0,7711040.0,1.41
000300.SH,2008-02-25,4519.78,4704.32,4722.64,4510.7,-182.46,-3.88,336520.0,6532370.0,1.25
000300.SH,2008-02-26,4515.53,4637.6,4668.83,4394.59,-4.25,-0.09,332764.0,6762600.0,1.23
000300.SH,2008-02-27,4639.77,4543.1,4660.41,4500.89,124.24,2.75,295924.0,6031150.0,1.08
000300.SH,2008-02-28,4622.06,4651.16,4670.17,4582.82,-17.71,-0.38,253982.0,5033260.0,0.93
000300.SH,2008-02-29,4674.55,4616.24,4683.16,4597.63,52.49,1.14,233509.0,4727500.0,0.86
000300.SH,2008-03-03,4790.74,4648.73,4803.9,4611.7,116.19,2.49,392584.0,7968500.0,1.42
000300.SH,2008-03-04,4671.15,4813.4,4836.66,4657.38,-119.6,-2.5,451298.0,8855770.0,1.63
000300.SH,2008-03-05,4628.72,4650.52,4689.97,4519.74,-42.42,-0.91,394180.0,7347960.0,1.43
000300.SH,2008-03-06,4685.03,4645.07,4746.58,4592.62,56.31,1.22,444023.0,8571060.0,1.61
000300.SH,2008-03-07,4621.69,4641.76,4693.21,4597.01,-63.34,-1.35,286909.0,6055240.0,1.04
000300.SH,2008-03-10,4431.59,4588.73,4588.77,4406.23,-190.1,-4.11,317804.0,6114740.0,1.15
000300.SH,2008-03-11,4441.18,4393.28,4441.18,4315.18,9.6,0.22,262766.0,5234430.0,0.95
000300.SH,2008-03-12,4309.65,4534.81,4553.34,4308.35,-131.54,-2.96,271456.0,5570260.0,0.98
000300.SH,2008-03-13,4198.96,4266.27,4296.36,4121.27,-110.69,-2.57,344513.0,6576950.0,1.24
000300.SH,2008-03-14,4157.87,4179.44,4212.41,4092.79,-41.09,-0.98,234279.0,4556420.0,0.84
000300.SH,2008-03-17,3965.28,4138.88,4138.88,3958.29,-192.59,-4.63,281810.0,5237610.0,1.01
000300.SH,2008-03-18,3763.95,3924.87,3996.96,3700.35,-201.33,-5.08,345238.0,5845950.0,1.23
000300.SH,2008-03-19,3888.86,3837.6,3954.47,3776.3,124.91,3.32,378985.0,6882370.0,1.35
000300.SH,2008-03-20,4001.83,3833.21,4044.69,3658.04,112.97,2.9,462129.0,8243260.0,1.65
000300.SH,2008-03-21,4037.83,3998.2,4083.16,3958.97,36.0,0.9,426152.0,7498540.0,1.52
000300.SH,2008-03-24,3857.09,4086.07,4103.57,3857.09,-180.74,-4.48,358424.0,6394360.0,1.28
000300.SH,2008-03-25,3905.77,3780.46,3937.67,3747.02,48.68,1.26,322459.0,5829240.0,1.15
000300.SH,2008-03-26,3914.37,3926.86,4001.55,3888.02,8.6,0.22,280368.0,5202610.0,1.0
000300.SH,2008-03-27,3748.92,3847.44,3873.61,3745.88,-165.45,-4.23,320007.0,5515140.0,1.14
000300.SH,2008-03-28,3918.16,3712.98,3925.86,3661.38,169.24,4.51,420968.0,7272610.0,1.5
000300.SH,2008-03-31,3790.53,3802.21,3891.66,3780.12,-127.63,-3.26,294408.0,5116660.0,1.05
000300.SH,2008-04-01,3582.86,3776.27,3815.16,3566.21,-207.67,-5.48,353035.0,5896210.0,1.26
000300.SH,2008-04-02,3547.98,3621.39,3698.53,3493.18,-34.88,-0.97,427659.0,7010280.0,1.52
000300.SH,2008-04-03,3650.7,3518.22,3665.65,3457.62,102.72,2.9,329895.0,5423390.0,1.17
000300.SH,2008-04-07,3845.82,3611.96,3854.07,3578.38,195.12,5.34,404850.0,7052590.0,1.42
000300.SH,2008-04-08,3891.06,3852.01,3935.33,3820.1,45.24,1.18,440679.0,7648590.0,1.54
000300.SH,2008-04-09,3688.13,3857.28,3911.7,3687.6,-202.93,-5.22,389972.0,6455580.0,1.36
000300.SH,2008-04-10,3754.72,3641.66,3754.72,3608.32,66.59,1.81,288044.0,4715230.0,1.0
000300.SH,2008-04-11,3783.73,3794.3,3825.3,3755.02,29.01,0.77,263286.0,4441900.0,0.92
000300.SH,2008-04-14,3536.33,3699.14,3710.79,3525.19,-247.4,-6.54,334270.0,5463740.0,1.16
000300.SH,2008-04-15,3583.3,3513.07,3583.86,3417.25,46.97,1.33,306569.0,4899710.0,1.06
000300.SH,2008-04-16,3494.02,3573.66,3583.81,3483.19,-89.28,-2.49,265281.0,4208770.0,0.92
000300.SH,2008-04-17,3386.63,3493.24,3559.1,3340.88,-107.39,-3.07,295306.0,4683000.0,1.03
000300.SH,2008-04-18,3272.5,3356.56,3390.55,3248.53,-114.13,-3.37,278882.0,4218410.0,0.97
000300.SH,2008-04-21,3267.55,3516.43,3516.43,3223.89,-4.94,-0.15,413623.0,6465770.0,1.43
000300.SH,2008-04-22,3296.28,3207.88,3301.55,3122.39,28.72,0.88,325380.0,4770640.0,1.13
000300.SH,2008-04-23,3453.73,3267.36,3467.43,3245.3,157.45,4.78,442726.0,6771860.0,1.53
000300.SH,2008-04-24,3774.5,3739.32,3781.48,3659.73,320.78,9.29,965749.0,14939500.0,3.29
000300.SH,2008-04-25,3803.07,3781.91,3915.84,3737.98,28.57,0.76,848145.0,14709800.0,2.89
000300.SH,2008-04-28,3729.15,3740.95,3791.77,3711.19,-73.92,-1.94,488312.0,8507060.0,1.65
000300.SH,2008-04-29,3776.94,3704.93,3797.53,3702.02,47.79,1.28,445404.0,7889580.0,1.5
000300.SH,2008-04-30,3959.12,3793.85,3970.58,3793.85,182.18,4.82,699098.0,12263700.0,2.35
000300.SH,2008-05-05,4055.78,4015.21,4061.47,3972.56,96.66,2.44,625341.0,11100400.0,2.1
000300.SH,2008-05-06,4010.89,4021.07,4075.58,3961.34,-44.89,-1.11,584593.0,10619800.0,1.95
000300.SH,2008-05-07,3821.32,3986.13,4042.41,3821.11,-189.57,-4.73,544577.0,9846530.0,1.81
000300.SH,2008-05-08,3925.04,3774.04,3926.0,3761.28,103.72,2.71,440557.0,7783910.0,1.46
000300.SH,2008-05-09,3878.92,3960.89,3973.06,3806.52,-46.12,-1.17,536559.0,9637790.0,1.78
000300.SH,2008-05-12,3904.92,3804.99,3952.79,3766.58,26.0,0.67,453827.0,8169150.0,1.5
000300.SH,2008-05-13,3851.69,3786.53,3923.17,3778.72,-53.23,-1.36,503380.0,7984730.0,1.67
000300.SH,2008-05-14,3975.78,3843.47,3975.8,3843.47,124.1,3.22,506069.0,8523090.0,1.67
000300.SH,2008-05-15,3948.09,4006.66,4038.85,3948.06,-27.69,-0.7,507730.0,8179590.0,1.67
000300.SH,2008-05-16,3936.12,3948.03,3982.22,3882.9,-11.97,-0.3,397218.0,6627940.0,1.25
000300.SH,2008-05-19,3914.07,3926.31,3936.28,3865.5,-22.05,-0.56,297096.0,4975560.0,0.93
000300.SH,2008-05-20,3710.82,3911.1,3946.44,3698.55,-203.25,-5.19,397026.0,6457200.0,1.24
000300.SH,2008-05-21,3783.05,3668.18,3801.07,3591.57,72.23,1.95,435962.0,6917910.0,1.36
000300.SH,2008-05-22,3711.44,3732.64,3783.85,3704.16,-71.6,-1.89,407427.0,6628120.0,1.27
000300.SH,2008-05-23,3675.15,3697.89,3741.06,3629.01,-36.3,-0.98,334404.0,5253080.0,1.04
000300.SH,2008-05-26,3559.22,3643.01,3643.01,3555.76,-115.93,-3.15,281802.0,4552440.0,0.88
000300.SH,2008-05-27,3576.2,3549.99,3594.66,3533.47,16.98,0.48,247627.0,3985630.0,0.77
000300.SH,2008-05-28,3676.23,3583.28,3698.0,3561.73,100.03,2.8,310349.0,4999480.0,0.96
000300.SH,2008-05-29,3580.87,3666.2,3677.02,3578.73,-95.36,-2.59,294227.0,4658900.0,0.91
000300.SH,2008-05-30,3611.33,3585.61,3620.23,3552.66,30.46,0.85,285908.0,4688670.0,0.89
000300.SH,2008-06-02,3625.83,3600.23,3650.48,3580.58,14.5,0.4,282534.0,4196690.0,0.88
000300.SH,2008-06-03,3614.11,3624.57,3641.43,3585.12,-11.71,-0.32,347351.0,4879640.0,1.07
000300.SH,2008-06-04,3546.92,3601.06,3605.06,3513.64,-67.19,-1.86,294177.0,4296370.0,0.91
000300.SH,2008-06-05,3512.14,3529.98,3542.24,3487.79,-34.78,-0.98,239893.0,3656590.0,0.74
000300.SH,2008-06-06,3489.5,3519.12,3532.3,3470.56,-22.64,-0.64,209442.0,3029860.0,0.65
000300.SH,2008-06-10,3206.56,3344.45,3352.32,3188.8,-282.94,-8.11,329500.0,4581830.0,1.02
000300.SH,2008-06-11,3140.3,3155.94,3181.82,3097.4,-66.26,-2.07,294097.0,4059650.0,0.91
000300.SH,2008-06-12,3084.63,3123.64,3148.74,3022.88,-55.67,-1.77,314541.0,4281740.0,0.97
000300.SH,2008-06-13,2979.12,3087.34,3108.99,2975.66,-105.52,-3.42,253198.0,3319400.0,0.78
000300.SH,2008-06-16,2952.24,2981.09,3012.99,2900.08,-26.87,-0.9,268138.0,3373180.0,0.82
000300.SH,2008-06-17,2842.68,2950.4,2977.89,2820.64,-109.57,-3.71,264638.0,3203130.0,0.8
000300.SH,2008-06-18,2991.27,2820.24,3007.18,2759.11,148.6,5.23,425601.0,5282670.0,1.29
000300.SH,2008-06-19,2773.08,2967.4,2967.4,2768.23,-218.2,-7.29,363190.0,4526490.0,1.1
000300.SH,2008-06-20,2849.67,2795.47,2946.94,2691.87,76.59,2.76,516759.0,6525960.0,1.57
000300.SH,2008-06-23,2789.94,2798.43,2845.48,2771.36,-59.73,-2.1,266315.0,3238240.0,0.8
000300.SH,2008-06-24,2851.92,2775.69,2865.9,2770.99,61.97,2.22,317925.0,3888580.0,0.96
000300.SH,2008-06-25,2969.54,2844.92,2973.17,2834.95,117.62,4.12,424253.0,5161930.0,1.28
000300.SH,2008-06-26,2980.91,2964.52,3010.28,2922.79,11.37,0.38,425993.0,5250860.0,1.28
000300.SH,2008-06-27,2816.02,2886.18,2899.84,2787.25,-164.89,-5.53,408866.0,4932480.0,1.23
000300.SH,2008-06-30,2791.82,2782.84,2834.27,2747.61,-24.2,-0.86,252954.0,3150240.0,0.76
000300.SH,2008-07-01,2698.35,2799.2,2809.38,2690.18,-93.47,-3.35,288516.0,3524260.0,0.83
000300.SH,2008-07-02,2699.6,2702.63,2745.94,2670.06,1.25,0.05,279164.0,3512620.0,0.8
000300.SH,2008-07-03,2760.61,2654.48,2807.68,2617.26,61.02,2.26,456603.0,5880810.0,1.31
000300.SH,2008-07-04,2741.85,2751.21,2783.85,2716.02,-18.76,-0.68,379050.0,4736360.0,1.09
000300.SH,2008-07-07,2882.76,2747.61,2890.99,2747.61,140.91,5.14,527320.0,6328480.0,1.51
000300.SH,2008-07-08,2901.84,2900.57,2939.14,2841.07,19.08,0.66,542481.0,6788720.0,1.56
000300.SH,2008-07-09,3015.13,2927.0,3015.27,2927.0,113.29,3.9,693570.0,8584630.0,1.99
000300.SH,2008-07-10,2973.73,2970.98,3056.91,2950.2,-41.4,-1.37,616496.0,7764350.0,1.77
000300.SH,2008-07-11,2953.5,2962.86,2988.2,2913.87,-20.23,-0.68,442871.0,5508540.0,1.27
000300.SH,2008-07-14,2975.87,2927.24,2996.59,2917.02,22.38,0.76,345750.0,4392060.0,0.99
000300.SH,2008-07-15,2852.98,2987.06,2997.67,2849.2,-122.89,-4.13,472928.0,5711830.0,1.35
000300.SH,2008-07-16,2745.6,2818.76,2824.88,2702.66,-107.38,-3.76,394031.0,4536130.0,1.12
000300.SH,2008-07-17,2718.07,2790.26,2812.99,2705.81,-27.53,-1.0,326873.0,3805440.0,0.93
000300.SH,2008-07-18,2815.46,2746.54,2818.06,2690.07,97.39,3.58,402034.0,4721330.0,1.14
000300.SH,2008-07-21,2911.05,2792.83,2915.29,2780.28,95.59,3.4,451196.0,5493810.0,1.28
000300.SH,2008-07-22,2904.74,2905.28,2931.45,2890.25,-6.31,-0.22,388150.0,4778160.0,1.1
000300.SH,2008-07-23,2883.32,2923.05,2941.97,2879.19,-21.42,-0.74,388212.0,4694950.0,1.1
000300.SH,2008-07-24,2977.36,2905.04,2979.75,2902.98,94.04,3.26,485387.0,6025570.0,1.37
000300.SH,2008-07-25,2939.2,2939.32,2967.72,2916.68,-38.16,-1.28,405711.0,4770620.0,1.15
000300.SH,2008-07-28,2960.85,2959.11,2997.6,2946.49,21.65,0.74,393086.0,4708940.0,1.11
000300.SH,2008-07-29,2905.63,2921.25,2921.25,2881.05,-55.22,-1.87,360363.0,4219200.0,1.02
000300.SH,2008-07-30,2884.38,2940.02,2949.94,2866.03,-21.25,-0.73,298108.0,3422390.0,0.84
000300.SH,2008-07-31,2805.21,2894.25,2899.07,2804.7,-79.17,-2.74,279410.0,3117920.0,0.79
000300.SH,2008-08-01,2840.79,2786.12,2868.68,2748.76,35.58,1.27,340315.0,3974840.0,0.96
000300.SH,2008-08-04,2773.15,2816.94,2832.9,2767.53,-67.64,-2.38,227823.0,2744030.0,0.64
000300.SH,2008-08-05,2703.08,2780.76,2792.74,2695.37,-70.07,-2.53,304692.0,3477080.0,0.85
000300.SH,2008-08-06,2721.69,2723.52,2749.1,2679.66,18.61,0.69,274040.0,3174460.0,0.77
000300.SH,2008-08-07,2720.44,2717.66,2747.88,2683.41,-1.25,-0.05,233704.0,2666100.0,0.65
000300.SH,2008-08-08,2591.46,2719.38,2719.38,2581.81,-128.98,-4.74,308946.0,3361770.0,0.86
000300.SH,2008-08-11,2456.81,2579.8,2580.72,2442.79,-134.65,-5.2,321202.0,3245450.0,0.9
000300.SH,2008-08-12,2444.16,2431.38,2474.32,2413.6,-12.66,-0.52,241919.0,2445960.0,0.67
000300.SH,2008-08-13,2444.67,2427.5,2466.09,2369.58,0.52,0.02,275517.0,2748060.0,0.77
000300.SH,2008-08-14,2443.51,2429.98,2461.24,2410.49,-1.16,-0.05,201572.0,2115620.0,0.56
000300.SH,2008-08-15,2447.61,2440.39,2479.15,2412.95,4.1,0.17,204223.0,2129690.0,0.57
000300.SH,2008-08-18,2313.4,2451.31,2452.63,2312.95,-134.21,-5.48,236231.0,2266290.0,0.65
000300.SH,2008-08-19,2348.47,2285.52,2356.19,2273.89,35.07,1.52,194771.0,1840760.0,0.52
000300.SH,2008-08-20,2532.94,2332.39,2533.3,2312.18,184.47,7.85,450434.0,4456440.0,1.21
000300.SH,2008-08-21,2443.98,2494.26,2535.86,2438.86,-88.96,-3.51,375180.0,3965130.0,1.0
000300.SH,2008-08-22,2404.93,2421.25,2437.43,2362.63,-39.05,-1.6,262982.0,2618380.0,0.7
000300.SH,2008-08-25,2400.55,2408.03,2439.91,2373.77,-4.38,-0.18,186432.0,1896520.0,0.5
000300.SH,2008-08-26,2331.53,2370.53,2390.66,2306.94,-69.02,-2.88,237419.0,2226290.0,0.63
000300.SH,2008-08-27,2325.29,2322.54,2367.72,2291.35,-6.24,-0.27,238626.0,2358000.0,0.64
000300.SH,2008-08-28,2335.86,2325.26,2363.56,2316.68,10.57,0.45,204003.0,2171110.0,0.54
000300.SH,2008-08-29,2391.64,2347.4,2418.05,2339.52,55.78,2.39,288778.0,2900090.0,0.77
000300.SH,2008-09-01,2309.17,2372.64,2372.64,2297.02,-82.47,-3.45,211528.0,2138490.0,0.56
000300.SH,2008-09-02,2285.41,2292.69,2309.21,2268.0,-23.76,-1.03,184405.0,1864500.0,0.49
000300.SH,2008-09-03,2245.96,2279.6,2296.03,2219.56,-39.45,-1.73,237495.0,2406660.0,0.63
000300.SH,2008-09-04,2251.15,2238.65,2270.41,2216.11,5.18,0.23,189848.0,1854860.0,0.5
000300.SH,2008-09-05,2183.43,2193.04,2221.09,2172.94,-67.71,-3.01,216545.0,1970960.0,0.57
000300.SH,2008-09-08,2126.52,2189.82,2198.76,2119.12,-56.91,-2.61,221866.0,2011410.0,0.59
000300.SH,2008-09-09,2139.15,2135.22,2150.99,2111.4,12.63,0.59,176243.0,1548060.0,0.47
000300.SH,2008-09-10,2143.18,2124.97,2181.25,2099.23,4.03,0.19,220578.0,2030710.0,0.59
000300.SH,2008-09-11,2072.13,2135.45,2142.0,2067.25,-71.05,-3.32,221768.0,2067800.0,0.59
000300.SH,2008-09-12,2077.85,2071.06,2102.98,2066.44,5.72,0.28,191970.0,1765230.0,0.51
000300.SH,2008-09-16,2000.65,2050.32,2050.32,1987.3,-77.19,-3.72,335633.0,2876930.0,0.89
000300.SH,2008-09-17,1929.14,1981.25,2003.91,1923.55,-71.52,-3.57,328622.0,2698860.0,0.87
000300.SH,2008-09-18,1895.99,1876.97,1936.74,1804.77,-33.15,-1.72,478203.0,3684490.0,1.27
000300.SH,2008-09-19,2073.11,2065.78,2073.11,2046.22,177.12,9.34,365254.0,3210470.0,0.96
000300.SH,2008-09-22,2207.61,2228.37,2258.42,2130.32,134.5,6.49,1019940.0,9841560.0,2.68
000300.SH,2008-09-23,2123.48,2141.6,2180.37,2118.92,-84.14,-3.81,783656.0,6951670.0,2.06
000300.SH,2008-09-24,2138.85,2072.65,2139.22,2050.97,15.38,0.72,453282.0,4018360.0,1.19
000300.SH,2008-09-25,2223.53,2143.73,2256.27,2139.62,84.68,3.96,742379.0,7175830.0,1.95
000300.SH,2008-09-26,2243.66,2234.46,2257.16,2192.13,20.13,0.91,594299.0,5951810.0,1.55
000300.SH,2008-10-06,2128.7,2206.56,2206.56,2128.27,-114.96,-5.12,455753.0,4182730.0,1.19
000300.SH,2008-10-07,2102.45,2043.92,2136.12,2024.65,-26.25,-1.23,430653.0,4151200.0,1.13
000300.SH,2008-10-08,2022.88,2041.99,2073.07,2000.52,-79.57,-3.78,368747.0,3468990.0,0.96
000300.SH,2008-10-09,1995.3,2059.59,2063.3,1993.01,-27.58,-1.36,335823.0,3176030.0,0.88
000300.SH,2008-10-10,1906.96,1913.27,1938.22,1881.67,-88.34,-4.43,391516.0,3292410.0,1.02
000300.SH,2008-10-13,1985.49,1889.75,1985.63,1841.53,78.53,4.12,435381.0,3760640.0,1.14
000300.SH,2008-10-14,1934.62,2054.41,2060.49,1934.46,-50.87,-2.56,543319.0,4897510.0,1.42
