Symbol,Date,Open,Close,High,Low,Pre_Close,Change,Pct_Chg,Volume,AMount,Turnover_rate,Turnover_rate_f,Volume_ratio,Pe,Pe_ttm,Pb,Ps,Ps_ttm,Dv_ratio,Dv_ttm,Total_share,Float_share,Free_share,Total_mv,Circ_mv,Adj_factor,Ind_class
000951.SZ,2000-01-04,6.24,6.35,6.35,6.16,6.16,0.19,3.08,14889.0,9372.88,1.8381,1.8381,1.51,52.9685,52.9685,5.9099,3.1669,3.1669,,,25397.5,8100.0,8100.0,161274.0,51435.0,1.0,25
000951.SZ,2000-01-05,6.36,6.28,6.45,6.25,6.35,-0.07,-1.1,23697.0,15034.8,2.9256,2.9256,2.37,52.3846,52.3846,5.8447,3.132,3.132,,,25397.5,8100.0,8100.0,159496.0,50868.0,1.0,25
000951.SZ,2000-01-06,6.28,6.65,6.8,6.2,6.28,0.37,5.89,46935.0,30714.5,5.7944,5.7944,3.65,55.471,55.471,6.1891,3.3166,3.3166,,,25397.5,8100.0,8100.0,168893.0,53865.0,1.0,25
000951.SZ,2000-01-07,6.75,6.92,6.96,6.6,6.65,0.27,4.06,88476.0,60535.5,10.923,10.923,4.38,57.7232,57.7232,6.4403,3.4512,3.4512,,,25397.5,8100.0,8100.0,175751.0,56052.0,1.0,25
000951.SZ,2000-01-10,7.1,7.61,7.61,7.09,6.92,0.69,9.97,164772.0,121213.0,20.3422,20.3422,4.54,63.4788,63.4788,7.0825,3.7953,3.7953,,,25397.5,8100.0,8100.0,193275.0,61641.0,1.0,25
000951.SZ,2000-01-11,7.8,7.31,7.98,7.2,7.61,-0.3,-3.94,172148.0,132906.0,21.2528,21.2528,2.54,60.9764,60.9764,6.8033,3.6457,3.6457,,,25397.5,8100.0,8100.0,185656.0,59211.0,1.0,25
000951.SZ,2000-01-12,7.28,7.1,7.5,6.92,7.31,-0.21,-2.87,87891.0,63081.8,10.8507,10.8507,0.89,59.2247,59.2247,6.6079,3.541,3.541,,,25397.5,8100.0,8100.0,180322.0,57510.0,1.0,25
000951.SZ,2000-01-13,7.1,6.87,7.15,6.85,7.1,-0.23,-3.24,34009.0,23673.8,4.1986,4.1986,0.3,57.3061,57.3061,6.3938,3.4263,3.4263,,,25397.5,8100.0,8100.0,174481.0,55647.0,1.0,25
000951.SZ,2000-01-14,6.87,6.76,7.05,6.7,6.87,-0.11,-1.6,23917.0,16388.2,2.9527,2.9527,0.22,56.3886,56.3886,6.2914,3.3714,3.3714,,,25397.5,8100.0,8100.0,171687.0,54756.0,1.0,25
000951.SZ,2000-01-17,6.75,7.13,7.15,6.74,6.76,0.37,5.47,35439.0,24809.7,4.3752,4.3752,0.37,59.4749,59.4749,6.6358,3.5559,3.5559,,,25397.5,8100.0,8100.0,181084.0,57753.0,1.0,25
000951.SZ,2000-01-18,7.15,6.9,7.18,6.85,7.13,-0.23,-3.23,24977.0,17507.7,3.0836,3.0836,0.35,57.5564,57.5564,6.4217,3.4412,3.4412,,,25397.5,8100.0,8100.0,175243.0,55890.0,1.0,25
000951.SZ,2000-01-19,6.86,6.93,7.05,6.82,6.9,0.03,0.43,13542.0,9403.3,1.6719,1.6719,0.33,57.8066,57.8066,6.4497,3.4562,3.4562,,,25397.5,8100.0,8100.0,176005.0,56133.0,1.0,25
000951.SZ,2000-01-20,6.95,7.12,7.15,6.9,6.93,0.19,2.74,24845.0,17571.6,3.0673,3.0673,0.94,59.3915,59.3915,6.6265,3.551,3.551,,,25397.5,8100.0,8100.0,180830.0,57672.0,1.0,25
000951.SZ,2000-01-21,7.15,7.17,7.3,6.96,7.12,0.05,0.7,44484.0,31691.7,5.4919,5.4919,1.81,59.8086,59.8086,6.673,3.5759,3.5759,,,25397.5,8100.0,8100.0,182100.0,58077.0,1.0,25
000951.SZ,2000-01-24,7.15,7.1,7.19,7.0,7.17,-0.07,-0.98,33070.0,23393.6,4.0827,4.0827,1.15,59.2247,59.2247,6.6079,3.541,3.541,,,25397.5,8100.0,8100.0,180322.0,57510.0,1.0,25
000951.SZ,2000-01-25,7.1,7.06,7.1,6.8,7.1,-0.04,-0.56,64342.0,44471.6,7.1491,7.9435,2.28,58.891,58.891,6.5706,3.521,3.521,,,25397.5,9000.0,8100.0,179306.0,63540.0,1.0,25
