Instrument,Date,Open,Close,High,Low,Pre_Close,Change,Pct_Chg,Volume,AMount,Turnover_rate,Turnover_rate_f,Volume_ratio,Pe,Pe_ttm,Pb,Ps,Ps_ttm,Dv_ratio,Dv_ttm,Total_share,Float_share,Free_share,Total_mv,Circ_mv,Adj_factor,Ind_class
002024.SZ,2015-01-05,9.04,9.36,9.43,9.02,9.0,0.36,4.0,2133280.0,1980550.0,4.3178,5.5674,1.16,185.882,,2.5282,0.6563,0.6593,,,738304.0,494071.0,383171.0,6910530.0,4624510.0,84.734,电器连锁
002024.SZ,2015-01-06,9.29,9.48,9.48,9.12,9.36,0.12,1.28,2049890.0,1909900.0,4.149,5.3498,1.05,188.265,,2.5606,0.6647,0.6678,,,738304.0,494071.0,383171.0,6999120.0,4683800.0,84.734,电器连锁
002024.SZ,2015-01-07,9.47,9.34,9.63,9.26,9.48,-0.14,-1.48,1576930.0,1481510.0,3.1917,4.1155,0.8,185.485,,2.5228,0.6549,0.6579,,,738304.0,494071.0,383171.0,6895760.0,4614630.0,84.734,电器连锁
002024.SZ,2015-01-08,9.32,9.53,9.84,9.29,9.34,0.19,2.03,2836740.0,2710650.0,5.7416,7.4033,1.6,189.258,,2.5741,0.6682,0.6713,,,738304.0,494071.0,383171.0,7036040.0,4708500.0,84.734,电器连锁
002024.SZ,2015-01-09,9.48,9.37,9.68,9.3,9.53,-0.16,-1.68,2069360.0,1972180.0,4.1884,5.4006,1.05,186.08,,2.5309,0.657,0.66,,,738304.0,494071.0,383171.0,6917910.0,4629450.0,84.734,电器连锁
002024.SZ,2015-01-12,9.3,9.07,9.34,8.91,9.37,-0.3,-3.2,1400170.0,1274430.0,2.8339,3.6542,0.66,180.123,,2.4499,0.636,0.6389,,,738304.0,494071.0,383171.0,6696420.0,4481230.0,84.734,电器连锁
002024.SZ,2015-01-13,9.05,9.12,9.2,9.02,9.07,0.05,0.55,969865.0,883811.0,1.963,2.5312,0.49,181.116,,2.4634,0.6395,0.6424,,,738304.0,494071.0,383171.0,6733340.0,4505930.0,84.734,电器连锁
002024.SZ,2015-01-14,9.1,9.03,9.26,8.97,9.12,-0.09,-0.99,987629.0,901493.0,1.999,2.5775,0.56,179.328,,2.4391,0.6332,0.6361,,,738304.0,494071.0,383171.0,6666890.0,4461460.0,84.734,电器连锁
002024.SZ,2015-01-15,9.05,9.11,9.14,8.92,9.03,0.08,0.89,887200.0,800294.0,1.7957,2.3154,0.54,180.917,,2.4607,0.6388,0.6417,,,738304.0,494071.0,383171.0,6725950.0,4500990.0,84.734,电器连锁
002024.SZ,2015-01-16,9.13,9.4,9.47,9.05,9.11,0.29,3.18,1734730.0,1612140.0,3.5111,4.5273,1.37,186.676,,2.539,0.6591,0.6622,,,738304.0,494071.0,383171.0,6940060.0,4644270.0,84.734,电器连锁
002024.SZ,2015-01-19,9.02,8.83,9.43,8.64,9.4,-0.57,-6.06,2010830.0,1827980.0,4.0699,5.2479,1.68,175.357,,2.385,0.6192,0.622,,,738304.0,494071.0,383171.0,6519230.0,4362650.0,84.734,电器连锁
002024.SZ,2015-01-20,8.86,9.09,9.18,8.86,8.83,0.26,2.94,1450840.0,1313070.0,2.9365,3.7864,1.1,180.52,,2.4553,0.6374,0.6403,,,738304.0,494071.0,383171.0,6711190.0,4491110.0,84.734,电器连锁
002024.SZ,2015-01-21,9.12,9.38,9.43,9.1,9.09,0.29,3.19,1894240.0,1763200.0,3.8339,4.9436,1.34,186.279,,2.5336,0.6577,0.6607,,,738304.0,494071.0,383171.0,6925290.0,4634390.0,84.734,电器连锁
002024.SZ,2015-01-22,9.39,9.52,9.54,9.28,9.38,0.14,1.49,2065170.0,1947290.0,4.1799,5.3897,1.29,189.059,,2.5714,0.6675,0.6706,,,738304.0,494071.0,383171.0,7028660.0,4703560.0,84.734,电器连锁
002024.SZ,2015-01-23,9.49,9.33,9.54,9.28,9.52,-0.19,-2.0,1610690.0,1513960.0,3.26,4.2036,0.88,185.286,,2.5201,0.6542,0.6572,,,738304.0,494071.0,383171.0,6888380.0,4609690.0,84.734,电器连锁
002024.SZ,2015-01-26,9.36,10.26,10.26,9.36,9.33,0.93,9.97,4733920.0,4764080.0,9.5814,12.3546,2.62,203.755,,2.7713,0.7194,0.7227,,,738304.0,494071.0,383171.0,7575000.0,5069170.0,84.734,电器连锁
002024.SZ,2015-01-27,10.48,10.57,10.82,10.3,10.26,0.31,3.02,5918930.0,6239390.0,11.9799,15.4472,2.52,209.911,,2.855,0.7412,0.7446,,,738304.0,494071.0,383171.0,7803880.0,5222340.0,84.734,电器连锁
002024.SZ,2015-01-28,10.54,10.39,10.67,10.3,10.57,-0.18,-1.7,2544100.0,2652030.0,5.1493,6.6396,0.78,206.337,,2.8064,0.7285,0.7319,,,738304.0,494071.0,383171.0,7670980.0,5133400.0,84.734,电器连锁
002024.SZ,2015-01-29,10.25,10.9,11.31,10.19,10.39,0.51,4.91,4495930.0,4869650.0,9.0998,11.7335,1.33,216.465,,2.9441,0.7643,0.7678,,,738304.0,494071.0,383171.0,8047520.0,5385380.0,84.734,电器连锁
