Instrument,Date,Open,Close,High,Low,Pre_Close,Change,Pct_Chg,Volume,AMount,Turnover_rate,Turnover_rate_f,Volume_ratio,Pe,Pe_ttm,Pb,Ps,Ps_ttm,Dv_ratio,Dv_ttm,Total_share,Float_share,Free_share,Total_mv,Circ_mv,Adj_factor,Mkt_class,Ind_class
002081.SZ,2008-01-02,58.47,58.55,59.88,57.29,57.94,0.61,1.05,5395.12,31722.2,1.9619,2.248,0.46,82.1893,71.425,10.0568,3.1001,1.7621,0.34,0.34,9400.0,2750.0,2400.0,550370.0,161012.0,1.006,1,96
002081.SZ,2008-01-03,57.55,57.4,58.5,55.9,58.55,-1.15,-1.96,6913.68,39729.8,2.5141,2.8807,0.55,80.575,70.0221,9.8593,3.0392,1.7274,0.35,0.35,9400.0,2750.0,2400.0,539560.0,157850.0,1.006,1,96
002081.SZ,2008-01-04,57.2,56.7,58.34,56.7,57.4,-0.7,-1.22,7728.13,44301.9,2.8102,3.2201,0.78,79.5924,69.1682,9.739,3.0022,1.7064,0.35,0.35,9400.0,2750.0,2400.0,532980.0,155925.0,1.006,1,96
002081.SZ,2008-01-07,56.51,54.63,57.59,54.5,56.7,-2.07,-3.65,10302.4,57557.6,3.7463,4.2927,1.39,76.6866,66.643,9.3835,2.8926,1.6441,0.37,0.37,9400.0,2750.0,2400.0,513522.0,150232.0,1.006,1,96
002081.SZ,2008-01-08,54.81,56.08,56.4,54.81,54.63,1.45,2.65,7254.08,40280.7,2.6378,3.0225,1.0,78.722,68.4119,9.6325,2.9694,1.6877,0.36,0.36,9400.0,2750.0,2400.0,527152.0,154220.0,1.006,1,96
002081.SZ,2008-01-09,55.2,57.19,57.5,55.2,56.08,1.11,1.98,4039.12,22750.2,1.4688,1.683,0.54,80.2802,69.7659,9.8232,3.0281,1.7211,0.35,0.35,9400.0,2750.0,2400.0,537586.0,157272.0,1.006,1,96
002081.SZ,2008-01-10,57.55,57.0,57.89,56.0,57.19,-0.19,-0.33,3026.34,17124.1,1.1005,1.261,0.42,80.0135,69.5342,9.7906,3.0181,1.7154,0.35,0.35,9400.0,2750.0,2400.0,535800.0,156750.0,1.006,1,96
002081.SZ,2008-01-11,56.21,56.95,57.0,55.81,57.0,-0.05,-0.09,1983.75,11212.6,0.7214,0.8266,0.31,79.9433,69.4732,9.782,3.0154,1.7139,0.35,0.35,9400.0,2750.0,2400.0,535330.0,156612.0,1.006,1,96
002081.SZ,2008-01-14,56.0,56.8,57.35,56.0,56.95,-0.15,-0.26,4315.0,24531.2,1.5691,1.7979,0.81,79.7327,69.2902,9.7562,3.0075,1.7094,0.35,0.35,9400.0,2750.0,2400.0,533920.0,156200.0,1.006,1,96
002081.SZ,2008-01-15,56.99,59.61,59.99,56.99,56.8,2.81,4.95,7441.1,44103.0,2.7059,3.1005,1.8,83.6773,72.7181,10.2389,3.1563,1.794,0.34,0.34,9400.0,2750.0,2400.0,560334.0,163928.0,1.006,1,96
002081.SZ,2008-01-16,60.0,59.25,61.1,58.58,59.61,-0.36,-0.6,4177.52,25133.2,1.5191,1.7406,1.0,83.1719,72.2789,10.177,3.1372,1.7831,0.34,0.34,9400.0,2750.0,2400.0,556950.0,162938.0,1.006,1,96
002081.SZ,2008-01-17,58.88,56.88,59.39,54.01,59.25,-2.37,-4.0,3237.27,18552.8,1.1772,1.3489,0.77,79.845,69.3878,9.7699,3.0117,1.7118,0.35,0.35,9400.0,2750.0,2400.0,534672.0,156420.0,1.006,1,96
002081.SZ,2008-01-21,57.99,56.99,59.96,56.6,56.88,0.11,0.19,3045.16,17795.1,1.1073,1.2688,0.72,79.9995,69.522,9.7888,3.0175,1.7151,0.35,0.35,9400.0,2750.0,2400.0,535706.0,156722.0,1.006,1,96
002081.SZ,2008-01-22,56.8,52.0,57.95,51.52,56.99,-4.99,-8.76,3056.69,16418.9,1.1115,1.2736,0.69,72.9948,63.4347,8.9317,2.7533,1.5649,0.38,0.38,9400.0,2750.0,2400.0,488800.0,143000.0,1.006,1,96
002081.SZ,2008-01-23,54.3,54.4,54.59,52.5,52.0,2.4,4.62,4384.11,23605.2,1.5942,1.8267,1.05,76.3638,66.3624,9.344,2.8804,1.6372,0.37,0.37,9400.0,2750.0,2400.0,511360.0,149600.0,1.006,1,96
002081.SZ,2008-01-24,55.5,54.5,56.6,54.42,54.4,0.1,0.18,2092.4,11624.1,0.7609,0.8718,0.58,76.5041,56.876,8.8616,2.8857,1.4779,0.367,0.367,9400.0,2750.0,2400.0,512300.0,149875.0,1.006,1,96
002081.SZ,2008-01-25,54.0,54.64,55.0,53.46,54.5,0.14,0.26,870.93,4732.88,0.3167,0.3629,0.28,76.7007,57.0221,8.8844,2.8931,1.4817,0.366,0.366,9400.0,2750.0,2400.0,513616.0,150260.0,1.006,1,96
