Instrument,Date,Close,Open,High,Low,Pre_Close,Change,Pct_Chg,Volume,AMount
399370.SZ,2010-01-04,3768.54,3824.19,3829.87,3767.92,3807.72,-39.178,-1.0289,37963500.0,62007100.0
399370.SZ,2010-01-05,3799.97,3778.31,3810.67,3725.04,3768.54,31.424,0.8339,52012200.0,88434500.0
399370.SZ,2010-01-06,3784.71,3796.4,3830.96,3782.33,3799.97,-15.259,-0.4016,48420200.0,83887300.0
399370.SZ,2010-01-07,3716.46,3784.06,3800.49,3694.66,3784.71,-68.246,-1.8032,48258100.0,80375300.0
399370.SZ,2010-01-08,3730.68,3699.53,3731.14,3668.05,3716.46,14.219,0.3826,38686700.0,63243200.0
399370.SZ,2010-01-11,3733.61,3840.79,3845.9,3714.31,3730.68,2.928,0.0785,55269600.0,95528200.0
399370.SZ,2010-01-12,3789.64,3730.61,3790.26,3684.11,3733.61,56.034,1.5008,57463600.0,96298800.0
399370.SZ,2010-01-13,3672.17,3692.78,3747.08,3662.55,3789.64,-117.47,-3.0998,65096900.0,108805000.0
399370.SZ,2010-01-14,3730.8,3682.29,3730.8,3662.51,3672.17,58.628,1.5965,50803800.0,84054800.0
399370.SZ,2010-01-15,3754.07,3735.33,3771.44,3716.35,3730.8,23.27,0.6237,46266700.0,76080000.0
399370.SZ,2010-01-18,3774.1,3741.03,3774.22,3724.09,3754.07,20.032,0.5336,53006800.0,85834100.0
399370.SZ,2010-01-19,3775.98,3780.26,3797.96,3764.95,3774.1,1.879,0.0498,49358200.0,79690600.0
399370.SZ,2010-01-20,3652.69,3779.67,3782.41,3640.5,3775.98,-123.293,-3.2652,59384600.0,95549600.0
399370.SZ,2010-01-21,3667.2,3652.15,3685.82,3614.5,3652.69,14.511,0.3973,42448600.0,69662900.0
399370.SZ,2010-01-22,3603.9,3618.25,3639.96,3527.31,3667.2,-63.299,-1.7261,48958500.0,78620900.0
399370.SZ,2010-01-25,3564.49,3575.76,3618.36,3562.04,3603.9,-39.412,-1.0936,28921000.0,44761500.0
399370.SZ,2010-01-26,3464.39,3567.69,3583.02,3440.61,3564.49,-100.096,-2.8081,36123600.0,56228300.0
399370.SZ,2010-01-27,3413.6,3463.06,3476.17,3395.35,3464.39,-50.789,-1.466,30497900.0,47993200.0
399370.SZ,2010-01-28,3430.76,3408.86,3443.17,3383.67,3413.6,17.153,0.5025,28455100.0,44247400.0
399370.SZ,2010-01-29,3438.13,3413.76,3488.76,3398.48,3430.76,7.377,0.215,32637200.0,49374500.0
399370.SZ,2010-02-01,3381.32,3427.56,3427.56,3334.12,3438.13,-56.811,-1.6524,36669700.0,53882300.0
399370.SZ,2010-02-02,3372.25,3400.1,3444.71,3368.2,3381.32,-9.076,-0.2684,31862600.0,48553800.0
399370.SZ,2010-02-03,3462.93,3385.32,3463.35,3304.58,3372.25,90.679,2.689,40153100.0,61555300.0
399370.SZ,2010-02-04,3455.57,3438.38,3483.63,3420.85,3462.93,-7.355,-0.2124,38068400.0,55461600.0
399370.SZ,2010-02-05,3380.45,3375.02,3414.41,3353.47,3455.57,-75.119,-2.1739,38539100.0,55599900.0
399370.SZ,2010-02-08,3380.25,3378.78,3402.72,3355.24,3380.45,-0.198,-0.0059,25488800.0,37137800.0
