Instrument,Date,Open,Close,High,Low,Pre_Close,Change,Pct_Chg,Volume,AMount,Turnover_rate,Turnover_rate_f,Volume_ratio,Pe,Pe_ttm,Pb,Ps,Ps_ttm,Dv_ratio,Dv_ttm,Total_share,Float_share,Free_share,Total_mv,Circ_mv,Adj_factor,Vwap,Intra_tail_ratio,Intra_returns_skewness,Intra_returns_kurtosis,Intra_price_vol_corr,Intra_downside_ratio,Up_limit,Down_limit,Mfd_buyord,Mfd_sellord,Mfd_volinflowrate,Mkt_class,Ind_class_l1,Ind_class_l2,List_date
600418.SH,2008-01-02,9.09,9.35,9.38,8.98,9.05,0.3,3.31,122961.0,113334.0,1.3959,1.7808,0.93,31.735,33.1546,2.9949,1.1117,0.8832,1.3369,1.3369,128874.0,88086.8,69046.4,1204970.0,823612.0,5.313,9.21706,0.206326,0.046702,2.19991,0.256637,0.341366,9.96,8.15,41829,21104,0.33328745388339925,1,23,89,2001-08-24
600418.SH,2008-01-03,9.33,9.55,9.64,9.2,9.35,0.2,2.14,126537.0,120240.0,1.4365,1.8326,0.99,32.4138,33.8638,3.059,1.1355,0.9021,1.3089,1.3089,128874.0,88086.8,69046.4,1230740.0,841229.0,5.313,9.50242,0.112947,-0.226881,1.10335,-0.00493747,0.404256,10.29,8.42,42386,,,1,23,89,2001-08-24
600418.SH,2008-01-04,9.55,9.49,9.6,9.4,9.55,-0.06,-0.63,110569.0,104756.0,1.2552,1.6014,0.82,32.2102,33.651,3.0398,1.1283,0.8964,1.3172,1.3172,128874.0,88086.8,69046.4,1223010.0,835944.0,5.313,9.47429,0.126337,-0.692896,5.22881,-0.119109,0.574263,10.51,8.6,24216,38526,-0.22671121102751887,1,23,89,2001-08-24
600418.SH,2008-01-07,9.43,9.64,9.73,9.4,9.49,0.15,1.58,112794.0,108319.0,1.2805,1.6336,0.87,32.7193,34.1829,3.0878,1.1462,0.9106,1.2967,1.2967,128874.0,88086.8,69046.4,1242340.0,849157.0,5.313,9.60325,0.205764,0.497609,-0.536938,-0.0505675,0.283962,10.44,8.54,34257,22867,0.20116194540783966,1,23,89,2001-08-24
600418.SH,2008-01-08,9.7,9.22,9.74,9.11,9.64,-0.42,-4.36,182028.0,172314.0,2.0665,2.6363,1.54,31.2938,32.6936,2.9533,1.0962,0.8709,1.3557,1.3557,128874.0,88086.8,69046.4,1188220.0,812161.0,5.313,9.46633,0.22012,-0.00398973,-0.271219,-0.55176,0.69769,10.6,8.68,36930,44821,-0.094120267591728,1,23,89,2001-08-24
600418.SH,2008-01-09,9.15,9.49,9.55,9.13,9.22,0.27,2.93,135424.0,126933.0,1.5374,1.9613,1.03,32.2102,33.651,3.0398,1.1283,0.8964,1.3172,1.3172,128874.0,88086.8,69046.4,1223010.0,835944.0,5.313,9.37305,0.169217,0.404094,0.587321,0.0739566,0.336323,10.14,8.3,50805,44436,0.06767623502120522,1,23,89,2001-08-24
600418.SH,2008-01-10,9.56,9.88,9.96,9.52,9.49,0.39,4.11,285951.0,281353.0,3.2462,4.1414,2.14,33.5339,35.0339,3.1647,1.1747,0.9332,1.2652,1.2652,128874.0,88086.8,69046.4,1273270.0,870298.0,5.313,9.83918,0.113649,3.77181,19.2867,-0.291238,0.134793,10.44,8.54,65732,74795,-0.06270132837902907,1,23,89,2001-08-24
600418.SH,2008-01-11,9.94,9.89,10.0,9.66,9.88,0.01,0.1,150402.0,147518.0,1.7074,2.1783,0.91,33.5678,35.0694,3.1679,1.1759,0.9342,1.2639,1.2639,128874.0,88086.8,69046.4,1274560.0,871179.0,5.313,9.80823,0.180922,-0.286699,0.876978,0.56215,0.571477,10.87,8.89,21521,33742,-0.22013974859212235,1,23,89,2001-08-24
600418.SH,2008-01-14,9.99,9.89,10.05,9.8,9.89,0.0,0.0,117801.0,116668.0,1.3373,1.7061,0.68,33.5678,35.0694,3.1679,1.1759,0.9342,1.2639,1.2639,128874.0,88086.8,69046.4,1274560.0,871179.0,5.313,9.90378,0.169718,-0.641403,1.09622,0.11521,0.598894,10.88,8.9,24808,27729,-0.054882580326061324,1,23,89,2001-08-24
600418.SH,2008-01-15,9.92,9.94,10.07,9.83,9.89,0.05,0.51,119805.0,119054.0,1.3601,1.7351,0.69,33.7375,35.2467,3.1839,1.1818,0.9389,1.2575,1.2575,128874.0,88086.8,69046.4,1281000.0,875583.0,5.313,9.93736,0.118751,0.681799,0.585242,0.313092,0.414555,10.88,8.9,21832,25244,-0.07226298613226291,1,23,89,2001-08-24
