Instrument,Date,Open,Close,High,Low,Pre_Close,Change,Pct_Chg,Volume,AMount,Turnover_rate,Turnover_rate_f,Volume_ratio,Pe,Pe_ttm,Pb,Ps,Ps_ttm,Dv_ratio,Dv_ttm,Total_share,Float_share,Free_share,Total_mv,Circ_mv,Adj_factor,Mkt_class,Ind_class
600489.SH,2008-01-02,117.18,114.16,118.0,111.0,114.15,0.01,0.01,43238.4,496656.0,2.9731,3.378,1.17,197.594,173.997,33.3566,5.9087,3.7718,0.2453,0.2453,28000.0,14543.4,12800.0,3196480.0,1660280.0,1.352,1,20
600489.SH,2008-01-03,117.1,125.58,125.58,117.01,114.16,11.42,10.0,58347.2,713958.0,4.0119,4.5584,1.57,217.36,191.403,36.6935,6.4998,4.1491,0.223,0.223,28000.0,14543.4,12800.0,3516240.0,1826370.0,1.352,1,20
600489.SH,2008-01-04,130.0,138.14,138.14,130.0,125.58,12.56,10.0,78103.5,1066310.0,5.3704,6.1018,1.9,239.1,210.546,40.3634,7.1499,4.5641,0.2027,0.2027,28000.0,14543.4,12800.0,3867920.0,2009030.0,1.352,1,20
600489.SH,2008-01-07,138.27,134.15,138.27,132.0,138.14,-3.99,-2.89,55792.7,752710.0,3.8363,4.3588,1.11,232.194,204.465,39.1975,6.9434,4.4323,0.2087,0.2087,28000.0,14543.4,12800.0,3756200.0,1951000.0,1.352,1,20
600489.SH,2008-01-09,143.0,138.95,146.9,136.0,134.15,4.8,3.58,70643.9,993056.0,4.8574,5.5191,1.26,240.502,211.781,40.6001,7.1918,4.5909,0.2015,0.2015,28000.0,14543.4,12800.0,3890600.0,2020810.0,1.352,1,20
600489.SH,2008-01-10,138.88,132.79,138.88,132.75,138.95,-6.16,-4.43,50622.9,678296.0,3.4808,3.9549,0.83,229.84,202.392,38.8002,6.873,4.3873,0.2109,0.2109,28000.0,14543.4,12800.0,3718120.0,1931220.0,1.352,1,20
600489.SH,2008-01-11,132.78,127.12,136.12,126.68,132.79,-5.67,-4.27,36265.4,474081.0,2.4936,2.8332,0.58,220.026,193.75,37.1434,6.5795,4.2,0.2203,0.2203,28000.0,14543.4,12800.0,3559360.0,1848760.0,1.352,1,20
600489.SH,2008-01-14,130.0,132.45,134.5,120.01,127.12,5.33,4.19,41677.6,537074.0,2.8657,3.2561,0.72,229.251,201.874,38.7008,6.8554,4.3761,0.2114,0.2114,28000.0,14543.4,12800.0,3708600.0,1926280.0,1.352,1,20
600489.SH,2008-01-15,134.55,133.38,135.65,130.18,132.45,0.93,0.7,35820.6,476567.0,2.463,2.7985,0.7,230.861,203.291,38.9725,6.9035,4.4068,0.2099,0.2099,28000.0,14543.4,12800.0,3734640.0,1939810.0,1.352,1,20
600489.SH,2008-01-16,129.4,128.18,131.6,125.0,133.38,-5.2,-3.9,24559.8,316353.0,1.6887,1.9187,0.52,221.86,195.365,37.4532,6.6344,4.235,0.2184,0.2184,28000.0,14543.4,12800.0,3589040.0,1864180.0,1.352,1,20
600489.SH,2008-01-17,123.99,119.71,125.98,117.0,128.18,-8.47,-6.61,36330.0,440103.0,2.498,2.8383,0.96,207.2,182.456,34.9783,6.196,3.9552,0.2339,0.2339,28000.0,14543.4,12800.0,3351880.0,1741000.0,1.352,1,20
600489.SH,2008-01-18,119.71,120.95,122.0,116.68,119.71,1.24,1.04,22535.9,268216.0,1.5496,1.7606,0.65,209.346,184.346,35.3406,6.2601,3.9962,0.2315,0.2315,28000.0,14543.4,12800.0,3386600.0,1759030.0,1.352,1,20
600489.SH,2008-01-21,121.5,111.4,121.5,109.0,120.95,-9.55,-7.9,27770.5,321111.0,1.9095,2.1696,0.86,192.817,169.79,32.5502,5.7659,3.6806,0.2513,0.2513,28000.0,14543.4,12800.0,3119200.0,1620140.0,1.352,1,20
600489.SH,2008-01-22,104.6,100.26,110.0,100.26,111.4,-11.14,-10.0,38916.6,404415.0,2.6759,3.0404,1.32,173.535,152.811,29.2952,5.1893,3.3126,0.2793,0.2793,28000.0,14543.4,12800.0,2807280.0,1458130.0,1.352,1,20
600489.SH,2008-01-23,104.8,110.0,110.0,102.6,100.26,9.74,9.71,39055.2,418109.0,2.6854,3.0512,1.3,190.393,167.656,32.1411,5.6934,3.6344,0.2545,0.2545,28000.0,14543.4,12800.0,3080000.0,1599780.0,1.352,1,20
600489.SH,2008-01-24,112.1,115.56,118.0,110.0,110.0,5.56,5.05,45513.4,518369.0,3.1295,3.5557,1.38,200.017,176.131,33.7657,5.9812,3.8181,0.2423,0.2423,28000.0,14543.4,12800.0,3235680.0,1680640.0,1.352,1,20
600489.SH,2008-01-25,118.71,117.93,121.8,116.02,115.56,2.37,2.05,33716.6,400104.0,2.3183,2.6341,0.97,204.119,179.743,34.4582,6.1038,3.8964,0.2374,0.2374,28000.0,14543.4,12800.0,3302040.0,1715110.0,1.352,1,20
600489.SH,2008-01-28,120.0,112.72,121.6,110.08,117.93,-5.21,-4.42,28317.6,327818.0,1.9471,2.2123,0.77,195.101,171.802,32.9359,5.8342,3.7242,0.2484,0.2484,28000.0,14543.4,12800.0,3156160.0,1639340.0,1.352,1,20
600489.SH,2008-01-29,116.01,116.95,117.21,112.68,112.72,4.23,3.75,17850.6,206131.0,1.2274,1.3946,0.48,202.423,178.249,34.1718,6.0531,3.864,0.2394,0.2394,28000.0,14543.4,12800.0,3274600.0,1700860.0,1.352,1,20
600489.SH,2008-01-30,119.97,114.27,119.98,112.72,116.95,-2.68,-2.29,16228.2,188032.0,1.1158,1.2678,0.49,197.784,174.165,33.3888,5.9144,3.7754,0.245,0.245,28000.0,14543.4,12800.0,3199560.0,1661880.0,1.352,1,20
600489.SH,2008-01-31,112.83,106.28,113.9,105.4,114.27,-7.99,-6.99,19917.6,216630.0,1.3695,1.5561,0.7,183.955,161.987,31.0542,5.5009,3.5115,0.2635,0.2635,28000.0,14543.4,12800.0,2975840.0,1545680.0,1.352,1,20
600489.SH,2008-02-01,102.85,97.37,105.99,96.9,106.28,-8.91,-8.38,26515.2,264254.0,1.8232,2.0715,1.14,168.533,148.406,28.4507,5.0397,3.2171,0.2876,0.2876,28000.0,14543.4,12800.0,2726360.0,1416100.0,1.352,1,20
600489.SH,2008-02-04,100.3,107.11,107.11,100.3,97.37,9.74,10.0,20418.3,213342.0,1.404,1.5952,0.94,185.391,163.252,31.2967,5.5438,3.5389,0.2614,0.2614,28000.0,14543.4,12800.0,2999080.0,1557750.0,1.352,1,20
600489.SH,2008-02-05,107.51,105.51,107.51,103.0,107.11,-1.6,-1.49,14200.4,148970.0,0.9764,1.1094,0.7,182.622,160.813,30.8292,5.461,3.486,0.2654,0.2654,28000.0,14543.4,12800.0,2954280.0,1534480.0,1.352,1,20
600489.SH,2008-02-13,107.49,104.32,108.0,97.37,105.51,-1.19,-1.13,9052.16,94069.3,0.6224,0.7072,0.47,180.562,158.999,30.4815,5.3994,3.4467,0.2684,0.2684,28000.0,14543.4,12800.0,2920960.0,1517170.0,1.352,1,20
600489.SH,2008-02-14,104.59,103.69,106.59,100.5,104.32,-0.63,-0.6,7565.32,78341.6,0.5202,0.591,0.42,179.472,158.039,30.2974,5.3668,3.4259,0.27,0.27,28000.0,14543.4,12800.0,2903320.0,1508010.0,1.352,1,20
