Symbol,Date,Open,Close,High,Low,Pre_Close,Change,Pct_Chg,Volume,AMount,Turnover_rate,Turnover_rate_f,Volume_ratio,Pe,Pe_ttm,Pb,Ps,Ps_ttm,Dv_ratio,Dv_ttm,Total_share,Float_share,Free_share,Total_mv,Circ_mv,Adj_factor,Ind_class
688326.SH,2022-04-19,102.11,100.01,111.98,93.01,121.0,-20.99,-17.3471,91859.8,926666.0,39.3127,39.3127,,82.0947,82.0947,2.3968,3.6787,3.6787,,,12000.0,2336.64,2336.64,1200120.0,233688.0,1.0,20
688326.SH,2022-04-20,99.12,103.2,107.3,93.2,100.01,3.19,3.1897,61806.4,627641.0,26.4509,26.4509,,84.7132,84.7132,2.4732,3.796,3.796,,,12000.0,2336.64,2336.64,1238400.0,241142.0,1.0,20
688326.SH,2022-04-21,103.0,93.99,103.0,88.99,103.2,-9.21,-8.9244,42713.4,405218.0,18.2798,18.2798,,77.1531,77.1531,2.2525,3.4572,3.4572,,,12000.0,2336.64,2336.64,1127880.0,219621.0,1.0,20
688326.SH,2022-04-22,91.0,92.64,97.85,90.7,93.99,-1.35,-1.4363,25453.3,242793.0,10.8931,10.8931,,76.0449,76.0449,2.2201,3.4076,3.4076,,,12000.0,2336.64,2336.64,1111680.0,216467.0,1.0,20
688326.SH,2022-04-25,90.07,85.5,90.6,83.51,92.64,-7.14,-7.7073,19426.4,167479.0,8.3138,8.3138,,70.1839,70.1839,2.049,3.145,3.145,,,12000.0,2336.64,2336.64,1026000.0,199783.0,1.0,20
688326.SH,2022-04-26,85.99,85.43,88.79,81.05,85.5,-0.07,-0.0819,23081.9,196106.0,9.8782,9.8782,0.48,70.1265,70.1265,2.0474,3.1424,3.1424,,,12000.0,2336.64,2336.64,1025160.0,199620.0,1.0,20
688326.SH,2022-04-27,84.0,91.0,95.5,80.5,85.43,5.57,6.52,19648.0,172825.0,8.4086,8.4086,0.57,74.6987,132.959,2.1894,3.3473,3.3677,,,12000.0,2336.64,2336.64,1092000.0,212635.0,1.0,20
688326.SH,2022-04-28,90.15,87.3,90.15,83.8,91.0,-3.7,-4.0659,12323.2,107004.0,5.2739,5.2739,0.47,71.6615,127.553,2.1004,3.2112,3.2308,,,12000.0,2336.64,2336.64,1047600.0,203989.0,1.0,20
688326.SH,2022-04-29,86.91,93.12,93.7,85.0,87.3,5.82,6.6667,14419.7,129356.0,6.1711,6.1711,0.72,76.4389,136.057,2.2404,3.4252,3.4461,,,12000.0,2336.64,2336.64,1117440.0,217588.0,1.0,20
688326.SH,2022-05-05,91.0,92.91,95.4,89.03,93.12,-0.21,-0.2255,10261.4,94897.2,4.3915,4.3915,0.58,76.2665,135.75,2.2354,3.4175,3.4384,,,12000.0,2336.64,2336.64,1114920.0,217098.0,1.0,20
688326.SH,2022-05-06,90.61,86.01,91.4,86.01,92.91,-6.9,-7.4265,9526.87,84373.6,4.0772,4.0772,0.6,70.6026,125.668,2.0694,3.1637,3.183,,,12000.0,2336.64,2336.64,1032120.0,200975.0,1.0,20
688326.SH,2022-05-09,85.99,89.04,91.6,85.3,86.01,3.03,3.5228,12093.1,108504.0,5.1754,5.1754,0.91,73.0898,130.095,2.1423,3.2752,3.2951,,,12000.0,2336.64,2336.64,1068480.0,208055.0,1.0,20
688326.SH,2022-05-10,88.05,95.4,97.71,88.05,89.04,6.36,7.1429,11790.2,112049.0,5.0458,5.0458,1.01,78.3105,139.388,2.2953,3.5091,3.5305,,,12000.0,2336.64,2336.64,1144800.0,222916.0,1.0,20
688326.SH,2022-05-11,97.0,99.06,103.0,95.0,95.4,3.66,3.8365,14216.6,142644.0,6.0842,6.0842,1.22,81.3148,144.736,2.3833,3.6437,3.666,,,12000.0,2336.64,2336.64,1188720.0,231468.0,1.0,20
688326.SH,2022-05-12,98.12,100.0,103.35,94.8,99.06,0.94,0.9489,11087.8,109449.0,4.7452,4.7452,0.96,82.0865,146.109,2.406,3.6783,3.7008,,,12000.0,2336.64,2336.64,1200000.0,233664.0,1.0,20
688326.SH,2022-05-13,101.0,102.79,104.3,98.0,100.0,2.79,2.79,12114.9,122704.0,5.1847,5.1847,1.03,84.3767,150.185,2.4731,3.7809,3.804,,,12000.0,2336.64,2336.64,1233480.0,240184.0,1.0,20
688326.SH,2022-05-16,103.88,106.5,107.73,100.99,102.79,3.71,3.6093,11014.8,114816.0,4.7139,4.7139,0.9,87.4221,155.606,2.5623,3.9174,3.9413,,,12000.0,2336.64,2336.64,1278000.0,248853.0,1.0,20
688326.SH,2022-05-17,104.6,108.8,115.77,104.0,106.5,2.3,2.1596,14226.8,154287.0,6.0886,6.0886,1.18,89.3101,158.967,2.6177,4.002,4.0264,,,12000.0,2336.64,2336.64,1305600.0,254227.0,1.0,20
688326.SH,2022-05-18,108.11,111.68,114.3,105.77,108.8,2.88,2.6471,10218.0,111934.0,4.3729,4.3729,0.82,91.6742,163.174,2.687,4.1079,4.133,,,12000.0,2336.64,2336.64,1340160.0,260956.0,1.0,20
688326.SH,2022-05-19,108.88,106.88,108.88,103.3,111.68,-4.8,-4.298,9801.51,103941.0,4.1947,4.1947,0.84,87.734,156.161,2.5715,3.9314,3.9554,,,12000.0,2336.64,2336.64,1282560.0,249741.0,1.0,20
688326.SH,2022-05-20,105.24,106.0,106.98,103.56,106.88,-0.88,-0.8234,4709.46,49429.8,2.0155,2.0155,0.41,87.0116,154.876,2.5503,3.899,3.9228,,,12000.0,2336.64,2336.64,1272000.0,247684.0,1.0,20
688326.SH,2022-05-23,107.0,103.66,107.49,99.31,106.0,-2.34,-2.2075,11443.7,117679.0,4.8975,4.8975,1.15,85.0908,151.457,2.494,3.8129,3.8362,,,12000.0,2336.64,2336.64,1243920.0,242217.0,1.0,20
688326.SH,2022-05-24,105.25,103.47,108.44,100.23,103.66,-0.19,-0.1833,11435.0,121029.0,4.8938,4.8938,1.13,84.9349,151.179,2.4894,3.806,3.8292,,,12000.0,2336.64,2336.64,1241640.0,241773.0,1.0,20
688326.SH,2022-05-25,101.0,102.87,104.95,98.33,103.47,-0.6,-0.5799,9184.17,93011.3,3.9305,3.9305,0.96,84.4423,150.302,2.475,3.7839,3.807,,,12000.0,2336.64,2336.64,1234440.0,240371.0,1.0,20
688326.SH,2022-05-26,101.55,99.76,103.78,97.51,102.87,-3.11,-3.0232,7153.7,71574.0,3.0615,3.0615,0.77,81.8895,145.758,2.4002,3.6695,3.6919,,,12000.0,2336.64,2336.64,1197120.0,233104.0,1.0,20
688326.SH,2022-05-27,100.31,98.52,102.45,97.8,99.76,-1.24,-1.243,2608.13,26052.7,1.1162,1.1162,0.3,80.8716,143.947,2.3704,3.6239,3.646,,,12000.0,2336.64,2336.64,1182240.0,230206.0,1.0,20
688326.SH,2022-05-30,99.6,105.01,106.77,99.38,98.52,6.49,6.5875,7671.71,80034.7,3.2832,3.2832,0.92,86.199,153.429,2.5265,3.8626,3.8862,,,12000.0,2336.64,2336.64,1260120.0,245371.0,1.0,20
688326.SH,2022-05-31,104.76,105.66,108.01,102.66,105.01,0.65,0.619,8645.76,91732.2,3.7001,3.7001,1.14,86.7326,154.379,2.5421,3.8865,3.9102,,,12000.0,2336.64,2336.64,1267920.0,246890.0,1.0,20
688326.SH,2022-06-01,105.01,106.46,110.09,104.17,105.66,0.8,0.7571,8619.97,92487.0,3.689,3.689,1.22,87.3892,155.548,2.5614,3.9159,3.9398,,,12000.0,2336.64,2336.64,1277520.0,248759.0,1.0,20
688326.SH,2022-06-02,108.8,110.04,114.81,105.3,106.46,3.58,3.3628,10519.8,116260.0,4.5021,4.5021,1.52,90.3279,160.778,2.6475,4.0476,4.0723,,,12000.0,2336.64,2336.64,1320480.0,257124.0,1.0,20
