Instrument,Date,Pre_Close,Open,High,Low,Close,Pct_Chg,Volume,AMount,Turnover_rate,Turnover_rate_f,Swing,Up_Days,Down_Days,Constituent_Number,Constituent_Raise_Number,Constituent_Fall_Number,Constituent_Up_Number,Constituent_Dl_Number,Constituent_Chg_Ratio_Aa,Constituent_Chg_Ratio_M,New_High_Num,New_Low_Num,Up_Num_Ratio,Over250_Avgclose_Num_Ratio,Raise_Num_Ratio
000300.SH,2008-01-02,5338.275000,5349.763000,5404.928000,5283.448000,5385.103000,0.8772122081,4566871000,98886433471.000000,1.8364955500,2.0556298600,2.2756414759,1,0,300,218,62,4,0,2.3023000000,2.1127000000,14,1,1.3333333333,94.0000000000,72.6666666667
000300.SH,2008-01-03,5385.103000,5381.147000,5422.673000,5315.948000,5422.034000,0.6857993245,6464587800,135983354875.000000,2.5398915000,2.8535078400,1.9818562430,2,0,300,209,83,6,0,1.7764000000,1.7673000000,15,1,2.0000000000,94.0000000000,69.6666666667
000300.SH,2008-01-04,5422.034000,5430.630000,5499.085000,5422.456000,5483.650000,1.1364001037,5174642000,118866230641.000000,2.0453774900,2.2933560200,1.4132888138,3,0,300,157,125,6,0,0.9368000000,0.1836000000,7,0,2.0000000000,94.3333333333,52.3333333333
000300.SH,2008-01-07,5483.650000,5480.442000,5569.152000,5455.501000,5556.593000,1.3301906577,5348540900,123189549972.000000,2.1126562500,2.3787749300,2.0725429231,4,0,300,209,71,3,0,1.5032000000,0.7779000000,13,0,1.0000000000,95.0000000000,69.6666666667
000300.SH,2008-01-08,5556.593000,5575.950000,5630.624000,5485.234000,5528.054000,-0.5136060892,6489950100,147975753744.000000,2.5589962200,2.8805503500,2.6165313889,0,1,300,75,214,0,0,-1.8256000000,-2.5151000000,10,0,0E-10,93.0000000000,25.0000000000
000300.SH,2008-01-09,5528.054000,5507.116000,5614.678000,5490.305000,5613.758000,1.5503466500,4679687200,108368103243.000000,1.8258054900,2.0531323300,2.2498513944,1,0,300,272,21,4,0,2.2821000000,1.8963000000,7,0,1.3333333333,94.3333333333,90.6666666667
000300.SH,2008-01-10,5613.758000,5631.645000,5707.667000,5602.594000,5672.154000,1.0402300919,6422989300,144316455605.000000,2.4653769500,2.8128822500,1.8717051928,2,0,300,178,112,3,0,1.1377000000,0.4535000000,10,0,1.0000000000,94.3333333333,59.3333333333
000300.SH,2008-01-11,5672.154000,5688.563000,5702.572000,5629.638000,5699.147000,0.4758862330,5616707900,122241534840.000000,2.1812486700,2.4904098300,1.2858254554,3,0,300,119,170,2,0,-0.1777000000,-0.6791000000,12,0,0.6666666667,94.0000000000,39.6666666667
000300.SH,2008-01-14,5699.147000,5717.525000,5756.919000,5679.287000,5731.757000,0.5721908910,4984601000,109356397974.000000,1.9473694700,2.2215438500,1.3621687596,4,0,300,197,86,4,0,1.2216000000,0.8488000000,9,0,1.3333333333,95.0000000000,65.6666666667
000300.SH,2008-01-15,5731.757000,5743.431000,5754.107000,5652.040000,5696.450000,-0.6159891286,5088660800,119673141932.000000,1.9725469800,2.2537303000,1.7807279688,0,1,300,134,155,2,0,0.1155000000,-0.1411000000,8,0,0.6666666667,95.0000000000,44.6666666667
000300.SH,2008-01-16,5696.450000,5642.566000,5642.566000,5498.390000,5505.717000,-3.3482783137,5577446900,126634977042.000000,2.2886148200,2.5188978100,2.5309798208,0,2,300,52,236,1,0,-2.5558000000,-3.1808000000,4,2,0.3333333333,92.3333333333,17.3333333333
000300.SH,2008-01-17,5505.717000,5445.803000,5533.650000,5226.639000,5365.624000,-2.5445005619,6193693300,136052424646.000000,2.3729802400,2.7139653800,5.5762219526,0,3,300,47,246,1,1,-2.6875000000,-3.1976000000,3,2,0.3333333333,90.0000000000,15.6666666667
000300.SH,2008-01-18,5365.624000,5358.183000,5419.570000,5307.496000,5414.468000,0.9103135069,4391300500,95080872876.000000,1.7083119300,1.9437808500,2.0887412163,1,0,300,199,82,4,0,1.2808000000,0.9539000000,5,0,1.3333333333,91.0000000000,66.3333333333
000300.SH,2008-01-21,5414.468000,5424.640000,5434.349000,5122.463000,5145.734000,-4.9632577014,4783361700,101540050167.000000,1.8695111800,2.1343085700,5.7602335077,0,1,300,21,262,0,6,-4.9499000000,-5.4962000000,4,3,0E-10,85.6666666667,7.0000000000
000300.SH,2008-01-22,5145.734000,5015.428000,5032.245000,4708.388000,4753.868000,-7.6153567207,6077269200,126029341672.000000,2.4149831700,2.7727254100,6.2936988193,0,2,300,4,282,0,128,-8.4737000000,-9.8465000000,0,8,0E-10,64.3333333333,1.3333333333
000300.SH,2008-01-23,4753.868000,4787.171000,4976.272000,4751.499000,4975.111000,4.6539575773,5577638500,111006127504.000000,2.1454405300,2.4439901000,4.7282128995,1,0,300,281,9,15,1,5.2328000000,5.0183000000,0,2,5.0000000000,73.6666666667,93.6666666667
000300.SH,2008-01-24,4975.111000,5034.533000,5079.796000,4926.374000,5027.213000,1.0472530161,5660598700,114169075408.000000,2.1823085700,2.4889500500,3.0837904923,2,0,300,214,69,5,0,1.9806000000,1.6050000000,9,0,1.6666666667,76.6666666667,71.3333333333
000300.SH,2008-01-25,5027.213000,5022.896000,5121.408000,4966.519000,5077.429000,0.9988834768,4714210800,100680076889.000000,1.8078504400,2.0649094100,3.0810112880,3,0,300,150,137,3,0,0.5556000000,0.1151000000,4,1,1.0000000000,78.6666666667,50.0000000000
000300.SH,2008-01-28,5077.429000,5038.507000,5038.507000,4711.277000,4731.883000,-6.8055309094,4142528300,81460742897.000000,1.5946735000,1.8246413100,6.4447971601,0,1,300,10,277,0,61,-7.2614000000,-8.0842000000,1,6,0E-10,61.6666666667,3.3333333333
000300.SH,2008-01-29,4731.883000,4742.901000,4845.658000,4688.728000,4762.083000,0.6382237262,2906225600,58040616586.000000,1.1184961600,1.2764421400,3.3164387201,1,0,300,214,71,0,1,1.2488000000,1.5789000000,0,2,0E-10,64.3333333333,71.3333333333
000300.SH,2008-01-30,4762.083000,4817.161000,4858.101000,4606.144000,4710.652000,-1.0800105752,3409897600,72219233312.000000,1.3204764500,1.5077005600,5.2908989617,0,1,300,150,132,1,0,-0.1588000000,0.1342000000,2,4,0.3333333333,65.0000000000,50.0000000000
000300.SH,2008-01-31,4710.652000,4693.607000,4733.699000,4614.282000,4620.401000,-1.9158918978,3085258000,64311666805.000000,1.1915348500,1.3639391600,2.5350418583,0,2,300,48,238,0,5,-2.5406000000,-2.3185000000,1,1,0E-10,61.6666666667,16.0000000000
000300.SH,2008-02-01,4620.401000,4623.621000,4660.994000,4414.119000,4571.945000,-1.0487401418,3512552800,67941469336.000000,1.3432184900,1.5340529400,5.3431509516,0,3,300,56,230,0,3,-2.8041000000,-3.0916000000,2,4,0E-10,55.6666666667,18.6666666667
000300.SH,2008-02-04,4571.945000,4695.546000,4951.248000,4695.546000,4950.124000,8.2717311779,4095314500,85660385508.000000,1.5808375400,1.8065426500,5.5928494328,1,0,300,285,0,65,0,8.5782000000,8.8404000000,0,0,21.6666666667,68.6666666667,95.0000000000
000300.SH,2008-02-05,4950.124000,4942.875000,4995.574000,4878.119000,4921.829000,-0.5716018427,3279635600,70626096586.000000,1.2272468000,1.3984025900,2.3727688438,0,1,300,121,171,2,0,0.0007000000,-0.3674000000,2,0,0.6666666667,69.0000000000,40.3333333333
000300.SH,2008-02-13,4921.829000,4858.814000,4883.244000,4785.800000,4816.084000,-2.1484899211,2147565900,43271699299.000000,0.8036537500,0.9157716100,1.9798331068,0,2,300,61,229,0,0,-1.4185000000,-1.6430000000,0,1,0E-10,68.0000000000,20.3333333333
000300.SH,2008-02-14,4816.084000,4858.849000,4913.318000,4842.847000,4880.252000,1.3323687876,1983778900,40152820965.000000,0.7412558300,0.8453711900,1.4632427507,1,0,300,258,33,0,0,1.4765000000,1.3430000000,1,0,0E-10,70.3333333333,86.0000000000
000300.SH,2008-02-15,4880.252000,4846.024000,4846.024000,4742.101000,4813.311000,-1.3716709711,2426260100,47298764901.000000,0.9128941400,1.0424760900,2.1294597082,0,1,300,64,223,0,0,-1.1965000000,-1.6145000000,1,2,0E-10,65.3333333333,21.3333333333
000300.SH,2008-02-18,4813.311000,4875.215000,4944.880000,4845.308000,4910.992000,2.0293930727,3059007800,61844630483.000000,1.2179476800,1.3912750500,2.0686799586,1,0,300,268,15,4,1,2.3833000000,2.0425000000,5,0,1.3333333333,70.3333333333,89.3333333333
000300.SH,2008-02-19,4910.992000,4926.839000,5020.753000,4885.695000,5020.753000,2.2350066952,3617696500,74207768895.000000,1.3650336300,1.5563908000,2.7501164734,2,0,300,261,26,3,0,2.5634000000,2.3756000000,5,0,1.0000000000,76.0000000000,87.0000000000
000300.SH,2008-02-20,5020.753000,5032.777000,5062.261000,4901.661000,4908.717000,-2.2314581100,3955772200,84980855908.000000,1.5977343800,1.7541323200,3.1987233787,0,1,300,53,230,1,1,-1.6498000000,-1.9383000000,3,0,0.3333333333,71.6666666667,17.6666666667
000300.SH,2008-02-21,4908.717000,4878.569000,4924.449000,4796.099000,4876.030000,-0.6658970155,3340361600,67932116459.000000,1.2607661300,1.4372476100,2.6147361928,0,2,300,152,131,1,0,0.2138000000,0.1352000000,6,0,0.3333333333,70.0000000000,50.6666666667
000300.SH,2008-02-22,4876.030000,4850.882000,4850.882000,4649.813000,4702.241000,-3.5641495233,3791862700,77110349593.000000,1.4361271500,1.6344770000,4.1236210606,0,3,300,41,242,0,0,-2.8189000000,-3.2887000000,4,5,0E-10,64.6666666667,13.6666666667
000300.SH,2008-02-25,4702.241000,4704.316000,4722.636000,4510.695000,4519.783000,-3.8802349773,3365200100,65323658083.000000,1.2718672500,1.4505816400,4.5072338912,0,4,300,23,260,1,5,-3.9754000000,-4.1966000000,3,7,0.3333333333,57.3333333333,7.6666666667
000300.SH,2008-02-26,4519.783000,4637.600000,4668.831000,4394.594000,4515.533000,-0.0940310630,3327639000,67625962769.000000,1.2636314600,1.4416322700,6.0674815583,0,5,300,159,121,2,0,-0.0980000000,0.6589000000,4,5,0.6666666667,56.6666666667,53.0000000000
000300.SH,2008-02-27,4515.533000,4543.097000,4660.408000,4500.890000,4639.768000,2.7512809673,2959239300,60311456890.000000,1.1026481100,1.2559347600,3.5326505199,1,0,300,275,11,2,0,2.6841000000,2.2013000000,1,0,0.6666666667,62.6666666667,91.6666666667
000300.SH,2008-02-28,4639.768000,4651.157000,4670.173000,4582.823000,4622.056000,-0.3817432251,2539817100,50332555405.000000,0.9485614000,1.0819462400,1.8826372353,0,1,300,118,158,0,0,-0.0968000000,-0.2825000000,4,0,0E-10,63.3333333333,39.3333333333
000300.SH,2008-02-29,4622.056000,4616.240000,4683.159000,4597.627000,4674.550000,1.1357283425,2335085800,47275050938.000000,0.8774573300,0.9998356400,1.8505184706,1,0,300,222,58,1,0,1.2657000000,0.9773000000,2,0,0.3333333333,66.0000000000,74.0000000000
000300.SH,2008-03-03,4674.550000,4648.735000,4803.900000,4611.700000,4790.744000,2.4856724177,3925841100,79684960724.000000,1.4410202400,1.6514398800,4.1116257180,2,0,300,278,11,8,0,2.8971000000,2.6490000000,5,0,2.6666666667,69.6666666667,92.6666666667
000300.SH,2008-03-04,4790.744000,4813.401000,4836.657000,4657.381000,4671.148000,-2.4963972193,4512977700,88557686654.000000,1.6752453200,1.9192014000,3.7421327460,0,1,300,57,228,0,0,-1.7701000000,-2.0025000000,6,0,0E-10,64.6666666667,19.0000000000
000300.SH,2008-03-05,4671.148000,4650.518000,4689.967000,4519.743000,4628.724000,-0.9082135698,3941799300,73479598041.000000,1.4654109700,1.6712253100,3.6441577103,0,2,300,107,180,4,0,-0.5178000000,-1.1288000000,2,2,1.3333333333,63.6666666667,35.6666666667
000300.SH,2008-03-06,4628.724000,4645.069000,4746.584000,4592.621000,4685.030000,1.2164475566,4440226800,85710623021.000000,1.6255734100,1.8629719900,3.3262514680,1,0,300,192,92,2,0,1.0758000000,0.8946000000,4,0,0.6666666667,66.0000000000,64.0000000000
000300.SH,2008-03-07,4685.030000,4641.755000,4693.207000,4597.009000,4621.685000,-1.3520724520,2869094500,60552444836.000000,1.0498113200,1.2035945400,2.0533059554,0,1,300,63,224,0,0,-1.5497000000,-1.6975000000,0,0,0E-10,62.6666666667,21.0000000000
000300.SH,2008-03-10,4621.685000,4588.727000,4588.765000,4406.232000,4431.589000,-4.1131318989,3178035500,61147375746.000000,1.1631686500,1.3322496700,3.9494902833,0,2,300,14,276,0,0,-3.9690000000,-4.1256000000,1,4,0E-10,53.3333333333,4.6666666667
000300.SH,2008-03-11,4431.589000,4393.282000,4441.184000,4315.183000,4441.184000,0.2165137606,2627659200,52344309140.000000,0.9610375800,1.1023635800,2.8432465195,1,0,300,157,122,2,0,0.3678000000,0.3834000000,1,4,0.6666666667,52.6666666667,52.3333333333
000300.SH,2008-03-12,4441.184000,4534.811000,4553.336000,4308.350000,4309.648000,-2.9617327271,2714564400,55702634312.000000,0.9946081100,1.1414097200,5.5162317076,0,1,300,18,267,0,2,-3.0403000000,-3.0471000000,0,3,0E-10,43.6666666667,6.0000000000
000300.SH,2008-03-13,4309.648000,4266.273000,4296.364000,4121.275000,4198.960000,-2.5683768141,3445130700,65769466347.000000,1.2616478200,1.4453268500,4.0627215958,0,2,300,31,253,0,4,-3.5639000000,-3.9092000000,0,7,0E-10,36.3333333333,10.3333333333
000300.SH,2008-03-14,4198.960000,4179.438000,4212.408000,4092.791000,4157.871000,-0.9785518319,2342788500,45564248765.000000,0.8563608600,0.9812005300,2.8487292091,0,3,300,91,191,0,2,-1.0805000000,-0.8937000000,0,6,0E-10,33.6666666667,30.3333333333
000300.SH,2008-03-17,4157.871000,4138.877000,4138.877000,3958.292000,3965.279000,-4.6319859370,2818096100,52376089129.000000,1.0277294700,1.1801520300,4.3432083391,0,4,300,17,265,0,56,-6.6245000000,-7.2502000000,0,8,0E-10,22.6666666667,5.6666666667
000300.SH,2008-03-18,3965.279000,3924.870000,3996.959000,3700.350000,3763.948000,-5.0773476469,3452375100,58459478155.000000,1.2633388200,1.4518341900,7.4801546121,0,5,300,5,276,0,48,-6.8465000000,-7.4870000000,0,17,0E-10,13.3333333333,1.6666666667
