Instrument,Date,Pre_Close,Open,High,Low,Close,Pct_Chg,Volume,Amount,Turnover_rate,Turnover_rate_f,Swing,Up_Days,Down_Days,Constituent_Number,Constituent_Raise_Number,Constituent_Fall_Number,Constituent_Up_Number,Constituent_Dl_Number,Constituent_Chg_Ratio_Aa,Constituent_Chg_Ratio_M,New_High_Num,New_Low_Num,Up_Num_Ratio,Over250_Avgclose_Num_Ratio,Raise_Num_Ratio
000906.SH,2008-01-02,5205.740200,5217.930200,5294.609900,5167.080100,5278.919900,1.4057501371,8001460000,149336360000.000000,2.2963103600,2.5336639800,2.4497918663,1,0,800,684,72,28,0,3.3066000000,3.0218000000,42,2,3.5000000000,94.6250000000,85.5000000000
000906.SH,2008-01-03,5278.919900,5276.879900,5330.430200,5235.419900,5329.960000,0.9668663470,10663340000,197736090000.000000,2.9861678600,3.2967892000,1.7998056762,2,0,800,614,160,16,0,2.0535000000,2.0201000000,43,2,2.0000000000,95.1250000000,76.7500000000
000906.SH,2008-01-04,5329.960000,5338.839800,5393.359900,5322.529800,5380.779800,0.9534743225,8505500000,169192740000.000000,2.3938827000,2.6422860600,1.3289049074,3,0,800,359,393,13,0,0.4638000000,-0.0765000000,22,0,1.6250000000,95.5000000000,44.8750000000
000906.SH,2008-01-07,5380.779800,5377.210000,5471.319800,5354.620100,5459.600100,1.4648490169,9388910000,184487750000.000000,2.6461887100,2.9277432700,2.1688250465,4,0,800,606,155,14,0,1.8703000000,1.3599000000,32,0,1.7500000000,96.6250000000,75.7500000000
000906.SH,2008-01-08,5459.600100,5477.040000,5511.060100,5364.549800,5406.770000,-0.9676551218,10737240000,211889700000.000000,3.0324519400,3.3501968300,2.6835353747,0,1,800,135,632,1,0,-2.5628000000,-3.3110000000,23,0,0.1250000000,94.5000000000,16.8750000000
000906.SH,2008-01-09,5406.770000,5385.359900,5506.509800,5370.600100,5505.879900,1.8330703914,8162070000,161557350000.000000,2.2713162600,2.5037416900,2.5136948677,1,0,800,735,42,18,0,2.7910000000,2.2938000000,18,0,2.2500000000,95.7500000000,91.8750000000
000906.SH,2008-01-10,5505.879900,5523.279800,5593.950200,5500.490200,5557.089800,0.9300947520,10507960000,207281050000.000000,2.8920676400,3.2287853200,1.6974580212,2,0,800,413,359,6,0,0.7210000000,0.1463000000,29,0,0.7500000000,95.8750000000,51.6250000000
000906.SH,2008-01-11,5557.089800,5570.730000,5580.970200,5507.819800,5577.200200,0.3618872598,9111530000,176179480000.000000,2.5345531000,2.8285360200,1.3163436733,3,0,800,295,472,6,0,-0.2260000000,-0.7375000000,19,0,0.7500000000,95.3750000000,36.8750000000
000906.SH,2008-01-14,5577.200200,5592.870100,5637.660200,5561.819800,5616.750000,0.7091335900,8369690000,162720710000.000000,2.3417651000,2.6154598100,1.3598292563,4,0,800,553,203,12,0,1.3750000000,1.0081000000,23,0,1.5000000000,96.0000000000,69.1250000000
000906.SH,2008-01-15,5616.750000,5627.259800,5644.370100,5548.700200,5597.500000,-0.3427248854,8776700000,176491940000.000000,2.4432022000,2.7323708500,1.7032963903,0,1,800,446,319,6,0,0.6754000000,0.5274000000,25,0,0.7500000000,96.3750000000,55.7500000000
000906.SH,2008-01-16,5597.500000,5549.980000,5549.980000,5421.839800,5432.359900,-2.9502474319,9483450000,185549540000.000000,2.7581427100,3.0063006700,2.2892398392,0,2,800,204,552,3,0,-1.7462000000,-2.3455000000,23,3,0.3750000000,95.1250000000,25.5000000000
000906.SH,2008-01-17,5432.359900,5378.700200,5465.060100,5150.759800,5293.279800,-2.5602151286,10487200000,201317390000.000000,2.8869384800,3.2333264400,5.7857046622,0,3,800,143,631,3,4,-2.6136000000,-3.2693000000,16,2,0.3750000000,93.6250000000,17.8750000000
000906.SH,2008-01-18,5293.279800,5287.000000,5344.520000,5235.259800,5341.160200,0.9045507098,7515120000,140005600000.000000,2.0953551700,2.3391413600,2.0641304471,1,0,800,511,242,12,0,1.0561000000,0.7491000000,14,0,1.5000000000,94.1250000000,63.8750000000
000906.SH,2008-01-21,5341.160200,5352.060100,5361.879900,5062.879900,5084.980000,-4.7963399413,8329660000,153434930000.000000,2.3317796400,2.6092931400,5.5980346742,0,1,800,73,685,5,14,-4.5247000000,-5.0667000000,16,3,0.6250000000,89.0000000000,9.1250000000
000906.SH,2008-01-22,5084.980000,4957.980000,4963.270000,4648.080100,4688.100100,-7.8049451522,10114720000,182479170000.000000,2.8544019000,3.2050701100,6.1984491581,0,2,800,12,758,0,453,-8.7893000000,-9.9711000000,1,12,0E-10,68.0000000000,1.5000000000
000906.SH,2008-01-23,4688.100100,4714.439900,4914.000000,4679.379900,4913.080100,4.7989589642,9397110000,164682820000.000000,2.5971119800,2.9019721600,5.0045881060,1,0,800,754,17,61,1,5.3522000000,5.0202000000,3,6,7.6250000000,78.6250000000,94.2500000000
000906.SH,2008-01-24,4913.080100,4967.810100,5037.009800,4881.290000,4988.540000,1.5358980205,9938600000,176638730000.000000,2.7361267100,3.0587199300,3.1694944277,2,0,800,664,102,37,1,2.9314000000,2.5066000000,22,0,4.6250000000,83.0000000000,83.0000000000
000906.SH,2008-01-25,4988.540000,4985.230000,5074.379900,4940.120100,5031.210000,0.8553604862,8604650000,156158540000.000000,2.3704189300,2.6494803100,2.6913646077,3,0,800,379,379,16,1,0.3926000000,0E-10,13,1,2.0000000000,84.0000000000,47.3750000000
000906.SH,2008-01-28,5031.210000,4995.919900,4995.919900,4665.290000,4686.910200,-6.8432802447,7595980000,128402887000.000000,2.0912146300,2.3414298000,6.5715782088,0,1,800,42,728,1,206,-7.3262000000,-8.6255000000,3,10,0.1250000000,64.8750000000,5.2500000000
000906.SH,2008-01-29,4686.910200,4698.970200,4806.310100,4654.930200,4731.100100,0.9428364981,5280670000,90726170000.000000,1.4507584600,1.6176412500,3.2298442586,1,0,800,629,141,11,2,1.9202000000,2.1649000000,0,5,1.3750000000,70.7500000000,78.6250000000
000906.SH,2008-01-30,4731.100100,4782.089800,4828.720200,4585.259800,4692.879900,-0.8078501658,5900350000,107751657000.000000,1.6285738200,1.8168762000,5.1459574909,0,1,800,438,326,9,1,0.2058000000,0.2667000000,3,4,1.1250000000,72.7500000000,54.7500000000
000906.SH,2008-01-31,4692.879900,4677.029800,4714.279800,4578.430200,4583.529800,-2.3301278177,4942050000,90049353000.000000,1.3663906000,1.5306656300,2.8948024005,0,2,800,83,681,0,27,-3.4312000000,-3.1515000000,1,1,0E-10,66.0000000000,10.3750000000
000906.SH,2008-02-01,4583.529800,4583.879900,4614.419900,4347.470200,4501.310100,-1.7938074713,5763920000,97124013000.000000,1.5795419800,1.7662921600,5.8241074379,0,3,800,90,679,0,33,-4.0559000000,-4.3633000000,2,10,0E-10,53.5000000000,11.2500000000
000906.SH,2008-02-04,4501.310100,4621.419900,4873.200200,4621.419900,4872.520000,8.2467079973,6225820000,115668847000.000000,1.7229910900,1.9280843200,5.5934893266,1,0,800,768,0,166,0,8.5611000000,8.7182000000,0,0,20.7500000000,72.8750000000,96.0000000000
000906.SH,2008-02-05,4872.520000,4866.520000,4919.609900,4802.620100,4854.669900,-0.3663422623,5357030000,100671369000.000000,1.4438249300,1.6130044900,2.4010122072,0,1,800,347,418,7,1,0.2620000000,-0.1741000000,2,0,0.8750000000,72.5000000000,43.3750000000
000906.SH,2008-02-13,4854.669900,4797.180200,4834.240200,4732.390100,4767.390100,-1.7978524142,3706270000,65401927000.000000,0.9992461500,1.1175773400,2.0979819864,0,2,800,238,524,2,1,-0.7624000000,-1.0178000000,0,1,0.2500000000,70.6250000000,29.7500000000
000906.SH,2008-02-14,4767.390100,4806.819800,4866.939900,4794.980000,4837.980000,1.4806822710,3595130000,62835792000.000000,0.9691250900,1.0843668400,1.5094191684,1,0,800,722,52,8,0,1.9547000000,1.6192000000,2,0,1.0000000000,74.2500000000,90.2500000000
