Instrument,Trade_time,Adj_factor,Open,Close,High,Low,Volume,AMount
300026.SZ,2009-10-30 09:35:00,,97.15,88.88,97.2,87.01,2580300.0,242925523.0
300026.SZ,2009-10-30 09:40:00,,88.2,89.38,91.5,88.2,722600.0,65046728.0
300026.SZ,2009-10-30 09:45:00,,89.11,89.82,90.0,89.0,465100.0,41679720.0
300026.SZ,2009-10-30 09:50:00,,89.9,93.0,93.0,89.82,403600.0,36663354.0
300026.SZ,2009-10-30 09:55:00,,93.0,97.87,98.08,93.0,484300.0,46944301.0
300026.SZ,2009-10-30 10:00:00,,97.9,94.99,97.9,93.8,204000.0,19505993.0
300026.SZ,2009-10-30 10:05:00,,95.1,98.0,98.0,95.0,277500.0,26937121.0
300026.SZ,2009-10-30 10:10:00,,97.9,98.5,98.5,97.86,261900.0,25665790.0
300026.SZ,2009-10-30 10:15:00,,98.52,115.2,115.2,98.5,408000.0,42592261.0
300026.SZ,2009-10-30 10:20:00,,115.0,108.66,116.5,105.8,273000.0,30642910.0
300026.SZ,2009-10-30 10:25:00,,108.66,110.5,115.1,108.33,194800.0,22098965.0
300026.SZ,2009-10-30 10:30:00,,110.5,114.99,114.99,109.0,148800.0,16644460.0
300026.SZ,2009-10-30 10:35:00,,114.8,114.49,114.99,113.33,106900.0,12191741.0
300026.SZ,2009-10-30 10:40:00,,114.49,114.51,114.9,114.22,112500.0,12880393.0
300026.SZ,2009-10-30 10:45:00,,114.5,116.39,116.39,114.5,149700.0,17272522.0
300026.SZ,2009-10-30 10:50:00,,116.37,116.58,116.58,116.37,60200.0,7012849.0
300026.SZ,2009-10-30 10:55:00,,116.58,116.58,116.58,116.58,0.0,0.0
300026.SZ,2009-10-30 11:00:00,,116.58,116.58,116.58,116.58,0.0,0.0
300026.SZ,2009-10-30 11:05:00,,116.58,116.58,116.58,116.58,0.0,0.0
300026.SZ,2009-10-30 11:10:00,,116.58,116.58,116.58,116.58,0.0,0.0
300026.SZ,2009-10-30 11:15:00,,116.58,116.58,116.58,116.58,0.0,0.0
300026.SZ,2009-10-30 11:20:00,,116.58,140.01,145.0,116.58,421400.0,59169801.0
