Symbol,Date,Ind_class,List_date
000005.SZ,2016-12-30,环保,1990-12-10
000005.SZ,2017-01-26,环保,1990-12-10
000005.SZ,2017-02-28,环保,1990-12-10
000005.SZ,2017-03-31,环保,1990-12-10
000005.SZ,2017-04-28,环保,1990-12-10
000005.SZ,2017-05-31,环保,1990-12-10
000005.SZ,2017-06-30,环保,1990-12-10
000005.SZ,2017-07-31,环保,1990-12-10
000005.SZ,2017-08-31,环保,1990-12-10
000005.SZ,2017-09-29,环保,1990-12-10
000005.SZ,2017-10-31,环保,1990-12-10
000005.SZ,2017-11-30,环保,1990-12-10
000006.SZ,2020-06-30,房地产,1992-04-27
000006.SZ,2020-07-31,房地产,1992-04-27
000006.SZ,2020-08-31,房地产,1992-04-27
000006.SZ,2020-09-30,房地产,1992-04-27
000006.SZ,2020-10-30,房地产,1992-04-27
000006.SZ,2020-11-30,房地产,1992-04-27
000006.SZ,2020-12-31,房地产,1992-04-27
000006.SZ,2021-01-29,房地产,1992-04-27
000006.SZ,2021-02-26,房地产,1992-04-27
000006.SZ,2021-03-31,房地产,1992-04-27
000006.SZ,2021-04-30,房地产,1992-04-27
000006.SZ,2021-05-31,房地产,1992-04-27
000006.SZ,2021-06-30,房地产,1992-04-27
000006.SZ,2021-07-30,房地产,1992-04-27
000006.SZ,2021-08-31,房地产,1992-04-27
000006.SZ,2021-09-30,房地产,1992-04-27
000006.SZ,2021-10-29,房地产,1992-04-27
000006.SZ,2021-11-30,房地产,1992-04-27
000006.SZ,2021-12-31,房地产,1992-04-27
000006.SZ,2022-01-28,房地产,1992-04-27
000006.SZ,2022-02-28,房地产,1992-04-27
000006.SZ,2022-03-31,房地产,1992-04-27
000006.SZ,2022-04-29,房地产,1992-04-27
000006.SZ,2022-05-31,房地产,1992-04-27
000006.SZ,2022-06-30,房地产,1992-04-27
000006.SZ,2022-07-29,房地产,1992-04-27
000006.SZ,2022-08-31,房地产,1992-04-27
000006.SZ,2022-09-30,房地产,1992-04-27
000006.SZ,2022-10-31,房地产,1992-04-27
000006.SZ,2022-11-30,房地产,1992-04-27
000006.SZ,2022-12-30,房地产,1992-04-27
000006.SZ,2023-01-31,房地产,1992-04-27
000007.SZ,2015-05-29,商贸零售,1992-04-13
000007.SZ,2015-06-30,商贸零售,1992-04-13
000007.SZ,2015-07-31,商贸零售,1992-04-13
000007.SZ,2015-08-31,商贸零售,1992-04-13
000007.SZ,2015-09-30,商贸零售,1992-04-13
000007.SZ,2015-10-30,商贸零售,1992-04-13
000007.SZ,2015-11-30,商贸零售,1992-04-13
000008.SZ,2015-05-29,机械设备,1992-05-07
000008.SZ,2015-06-30,机械设备,1992-05-07
000008.SZ,2015-07-31,机械设备,1992-05-07
000008.SZ,2015-08-31,机械设备,1992-05-07
000008.SZ,2015-09-30,机械设备,1992-05-07
000008.SZ,2015-10-30,机械设备,1992-05-07
000008.SZ,2015-11-30,机械设备,1992-05-07
000008.SZ,2015-12-31,机械设备,1992-05-07
000008.SZ,2016-01-29,机械设备,1992-05-07
000008.SZ,2016-02-29,机械设备,1992-05-07
000008.SZ,2016-03-31,机械设备,1992-05-07
000008.SZ,2016-04-29,机械设备,1992-05-07
000008.SZ,2016-05-31,机械设备,1992-05-07
000010.SZ,2015-05-29,建筑装饰,1995-10-27
000010.SZ,2015-06-30,建筑装饰,1995-10-27
000010.SZ,2015-07-31,建筑装饰,1995-10-27
000010.SZ,2015-08-31,建筑装饰,1995-10-27
000010.SZ,2015-09-30,建筑装饰,1995-10-27
