feature,count,missing,sum,mean,median,mode,min,q1,q3,max,variance,std,cv,skew,kurtosis
IND_CLS,1209170,0,18334343.0,15.162750481735404,14.0,29.0,0.0,7.0,23.0,30.0,86.39057306666629,9.294652928790095,0.6129925398420396,0.2242547023806734,-1.2649634052115801
FUND_CAP,1209170,0,16905525.657614995,13.981099148684631,13.97876,14.266822,10.723708,13.434132,14.550744,17.808867,0.6736314872132977,0.8207505633341337,0.0587042946055748,0.025243221186374776,0.349490787412277
FUND_EP,1209170,0,49084.00650293902,0.04059313951134995,0.0303859925,0.0,0.0,0.014335997999999999,0.054246627500000005,0.7149496,0.001565883289160672,0.03957124320969297,0.9748258864931781,2.2161742666828133,8.175342127514744
FUND_BP,1209170,0,615499.2732770009,0.509026252120877,0.42468256,0.0,0.0,0.23686579,0.6946374,44.247787,0.14586462224162494,0.3819222725131711,0.7502997555074569,12.690281738569771,1292.8144113604537
TS_KLEN,1209170,0,43486.20633353113,0.03596368280186502,0.030171074,0.0,0.0,0.02022935725,0.04519774,0.4037037,0.0005046773745325378,0.022465025584951774,0.6246586510263284,1.6728504872660725,4.137661920566207
TS_KMID1,1209170,0,1315.942590541601,0.0010883023814199832,0.0,0.0,-0.35197818,-0.01198832175,0.012396694,0.24760765,0.0006327095560351335,0.025153718532955192,23.112802987838176,0.5021335353568362,3.5681042141120676
TS_KMID2,1209170,0,-8095.205322713801,-0.0066948446642852545,0.0,0.0,-1.0,-0.45614034,0.43362832,1.0,0.2730500266787186,0.5225418898793843,-78.05138372619302,-0.024100408771021903,-1.1266461615849857
TS_KUP1,1209170,0,11693.235147316449,0.009670464159147555,0.0068649887,0.0,0.0,0.0028680689,0.013201321,0.32962963,0.00010145758920631543,0.010072615807540533,1.0415855580223181,2.3183017476622125,9.863239885321978
TS_KUP2,1209170,0,340012.67389289953,0.2811950957209487,0.25,0.0,0.0,0.10638298,0.42857143,1.0,0.046094103190131616,0.21469537300587457,0.7635103750846819,0.6082529641723646,-0.35490762776914364
TS_KLOW1,1209170,0,10478.017893689712,0.008665462998329194,0.0063666267,0.0,0.0,0.002945508,0.011659541,0.17215376,7.513197885904011e-05,0.00866787049159366,1.0002778262702097,2.455775264589694,11.154667662616887
TS_KLOW2,1209170,0,322064.48867756064,0.2663517029677884,0.22745938999999998,0.0,0.0,0.1,0.4,1.0,0.04250244849480747,0.2061612196675395,0.7740187780683043,0.7430912045003366,-0.052999139667519124
TS_KSFT1,1209170,0,100.72533812838512,8.330122160522104e-05,-4.23050845e-16,0.0,-0.36666667,-0.014634146,0.013523932249999999,0.26435408,0.0007268831600936611,0.026960770762232692,323.6539662047751,0.4277668867062269,3.4722723239638906
TS_KSFT2,1209170,0,-26043.390718819333,-0.02153823756694206,-4.5699355e-14,1.0,-1.0,-0.54636785,0.5,1.0,0.3525421013472238,0.5937525590237265,-27.56736976172307,0.04945389922484656,-1.2076831060287267
TS_OPEN0,1209168,2,1208363.7264846503,0.9993348537876046,1.0,1.0,0.7048105,0.99537253,1.0030864,1.3315136,0.00014686996948528694,0.0121189920985735,0.01212705836551282,0.20367878518793114,24.31561979348886
TS_HIGH0,1209170,0,1231155.0007695996,1.0181818940013394,1.0135136,1.0,1.0,1.0064378,1.02457,1.5431579,0.0002929683717508025,0.01711631887266659,0.016810669069552392,2.1888047924760214,8.76938573627784
TS_LOW0,1209170,0,1187798.59737702,0.982325559993235,0.9877095,1.0,0.7879902,0.9763514,0.99425286,1.0,0.00030970424447995364,0.017598415965079175,0.017915054521436224,-2.1442873488259244,6.519694706845206
TS_MFD_VOLINFLOWRATE,1208541,629,-79799.31833734646,-0.06602946721488676,-0.0601418,-1.0,-1.0,-0.17876396,0.050487697,1.0,0.03602418576110436,0.189800383985661,-2.87448001614148,-0.13310580408228412,2.3919038091340696
CS_ROC5,1209160,10,1211321.3981415804,1.00178752037909,1.00071095,1.0,0.45835295,0.9702233,1.032258,2.0905406,0.0038248515789006824,0.06184538445915493,0.06173503183165208,0.25033058173800576,4.558543048512664
CS_ROC10,1209150,20,1213463.56943437,1.0035674394693543,1.0016892,1.0,0.38521636,0.9575597,1.0474198,2.8697674,0.007465075208390363,0.08640066671264963,0.08609353324409846,0.37133991466439453,5.107105352751562
CS_ROC20,1209116,54,1218224.8047092601,1.0075334415467665,1.0057603,1.0,0.24871491,0.9397258275,1.07241885,3.3405516,0.014639156007246851,0.12099237995529658,0.12008770623985338,0.4346739395925525,5.06156262187576
CS_ROC30,1209069,101,1223501.98779991,1.0119372738858659,1.0104338,1.0,0.16049092,0.9280937,1.0916399,4.9114585,0.0216625978014159,0.147182192541815,0.1454459642311934,0.614184965506586,8.21902145672142
CS_ROC60,1208605,565,1236660.07226589,1.0232127719692454,1.0206718,1.0,0.05680815,0.90285796,1.1332278,6.4183006,0.04240562381525046,0.20592625819756563,0.20125458148967978,1.1337178346231516,16.216065097215694
CS_MA5,1209170,0,1210014.69651039,1.000698575477716,1.0007055500000002,1.0,0.75156015,0.9861027,1.0151436,1.4943243,0.0009121551513323774,0.030201906418840144,0.030180822836109546,0.10811368737152008,4.360307505218855
CS_MA10,1209170,0,1211104.351982331,1.0015997353410446,1.0012423,1.0,0.62070155,0.9783582,1.0240105,1.9020946,0.0021487904492013834,0.04635504772084032,0.04628101035295944,0.21043224521247422,4.9660597702218325
CS_MA20,1209170,0,1213338.2728455698,1.003447218212137,1.0031707,1.0,0.4900541,0.9678306249999999,1.038244075,2.2813373,0.004558095336575857,0.06751366777605744,0.06728173296085066,0.2503539403142554,4.952334684024812
CS_MA30,1209170,0,1215771.8127738002,1.0054597887590664,1.0059354,1.0333333,0.42065305,0.96061605,1.0491207999999999,2.5318992,0.006902175346651275,0.08307933164542958,0.08262819913262338,0.2935781236431814,5.279541965981123
CS_MA60,1209170,0,1223341.0938570106,1.0117196869398104,1.01442745,1.0166667,0.29056183,0.9476506,1.074040975,3.7874115,0.013719147859719437,0.1171287661495648,0.11577195507962183,0.5490819296615131,8.980728210227483
CS_STD5,1209168,2,26473.57064746737,0.021894038419365523,0.017333278,0.0,0.0,0.01072883,0.0278790175,0.33787718,0.00027337152396354444,0.01653395064597522,0.7551804892856475,2.1630860043987767,8.208629512958986
CS_STD10,1209168,2,37022.01971876838,0.03061776338669927,0.024998421,0.008784105,0.00085466966,0.01619506,0.0386929,0.6235901,0.0004570830445717266,0.02137950056880952,0.6982711408011284,2.370771153491311,13.076527944403367
CS_STD20,1209168,2,52004.683089456026,0.04300864982323054,0.0362073965,0.011768779,0.0018549534,0.02389272475,0.054367941249999996,0.8414996,0.000794616400859196,0.02818894110922218,0.6554249255691887,2.5347411150050845,18.483917256639405
CS_STD30,1209168,2,63670.136807080606,0.0526561543202273,0.044907581,0.0056036944,0.0029296912,0.030147377,0.0662062325,1.0543556,0.0011154693001581544,0.03339864219033693,0.6342780368506175,2.8055264531448794,27.671818909826165
CS_STD60,1209168,2,89873.57791923043,0.07432679157836664,0.063876555,0.037647013,0.004921667,0.04417927,0.0925201825,2.07832,0.0021458045306974216,0.046322829476376136,0.6232319261021182,4.400309216647681,89.83327099199332
CS_SLOPE5,1209168,2,-432.2582806334584,-0.0003574840556758518,-0.00022573363,-0.009090909,-0.2088983,-0.00723316985,0.0066626377,0.13132411,0.00019940913021271529,0.014121229769843535,-39.501705168769654,-0.20226225141187906,4.508098132523042
CS_SLOPE10,1209168,2,-435.2926379334255,-0.00035999351449378874,-0.00014053579,-0.006060606,-0.20415598,-0.0050938235,0.004629906,0.07766595,9.302090557238002e-05,0.009644734603522278,-26.791412109422005,-0.3761515192909021,5.615586559334813
CS_SLOPE20,1209168,2,-449.45181994869307,-0.00037170336954723664,-0.000232936635,0.0007518797,-0.1359982,-0.003910773774999999,0.003312520575,0.0494871,4.459938291857655e-05,0.006678276942338986,-17.966683892248923,-0.4358080263220546,5.888037578602527
CS_SLOPE30,1209168,2,-477.323960690936,-0.00039475404632849696,-0.000329988435,-0.0013348165,-0.116914466,-0.0033277616500000003,0.00265660715,0.036648907,2.923393175240336e-05,0.005406841199110934,-13.696734078848678,-0.5341481240161864,7.540223908329728
CS_SLOPE60,1209168,2,-494.3396706488372,-0.00040882629266473906,-0.000398536635,-0.0013614893,-0.11534134,-0.0024722137,0.0017414044500000002,0.03161789,1.4411861028775674e-05,0.0037962956982795313,-9.285840383540867,-1.1021327023482985,20.6179583691931
CS_RESI5,1209168,2,19.54183146276331,1.6161386558992057e-05,-1.79702965e-13,-0.006666667,-0.17856677,-0.00670004185,0.0067761806,0.11641791,0.00017539464326442566,0.013243664268790025,819.4633684707803,-0.15516231086453958,3.204406971168571
CS_RESI10,1209168,2,23.49187152914541,1.942812870432017e-05,5.7606637e-05,-0.018181818,-0.3099375,-0.012887242,0.01319674675,0.2630883,0.0006450893741568897,0.025398609689447366,1307.3111711371132,-0.20460313617243225,3.40676702230816
CS_RESI20,1209168,2,99.2274030025407,8.206254466090792e-05,0.0010263689,0.014285714,-0.5677027,-0.020283533,0.02177728725,0.47135332,0.0016333732418601721,0.04041501258023028,492.49036508957727,-0.30914158323644514,3.5228374651206744
CS_RESI30,1209168,2,316.9769203756068,0.0002621446485315579,0.00199815735,-0.0021505377,-0.7590991,-0.02587284175,0.02883441725,0.58306605,0.0026460813144490386,0.0514400749848699,196.22782793018703,-0.3745375708771457,3.4789441238842906
CS_RESI60,1209168,2,412.5585801690505,0.00034119210909406346,0.003199448,-0.0076502734,-1.1541612,-0.03882634,0.0436227375,1.2362099,0.005749458911375546,0.07582518652384276,222.23604972921126,-0.388724127475533,4.5539638570950025
CS_RSQR5,1209128,42,602307.3486705414,0.49813365389813274,0.5372082,0.0,0.0,0.19767442,0.78383595,1.0,0.0991183147925693,0.31483061285804037,0.6320203631983928,-0.16887306906117458,-1.3500735115883034
CS_RSQR10,1209168,2,533236.7234050866,0.44099473638492465,0.45228789,0.0,0.0,0.1545825475,0.7088834,1.0,0.08866274650360116,0.29776290316894943,0.6752073859426873,-0.003924063142211977,-1.3512496439425368
CS_RSQR20,1209168,2,526420.2336420488,0.4353573975180031,0.45125102,0.0,0.0,0.1581731425,0.694095625,1.0,0.08390281875934989,0.2896598328373299,0.6653380291427153,-0.028716124601011292,-1.3353745555522634
CS_RSQR30,1209168,2,524147.20288639725,0.4334775671258231,0.446681585,0.0,0.0,0.15438988250000002,0.69444364,1.0,0.08445243076030601,0.2906070039766867,0.670408404069348,-0.01706120879180322,-1.3461866197246743
CS_RSQR60,1209168,2,510019.9627835414,0.4217941285111262,0.42712490999999997,0.5775856,0.0,0.14136443,0.681459765,1.0,0.0843428501244457,0.29041840527839435,0.6885311711273231,0.03964266721902149,-1.339916316002208
CS_MAX5,1209170,0,1264779.5636932994,1.0459898638680247,1.0337349,1.0,1.0,1.01680565,1.06093565,1.8817568,0.0018963120404958361,0.04354666509040429,0.0416320144149109,2.3983779115129606,10.39490436752541
CS_MAX10,1209170,0,1291427.6917144,1.0680282273910202,1.0502431,1.0,1.0,1.0252874,1.0909091,2.877907,0.0039667774260825715,0.06298235805432004,0.05897068676562357,2.438136293552771,13.256472780948453
CS_MAX20,1209170,0,1331750.2492630002,1.1013755297129437,1.0768262,1.0,1.0,1.0382775,1.1375839,3.364827,0.008204504826696166,0.09057872171043355,0.082241451046258,2.3570422254013645,13.391830197025413
CS_MAX30,1209170,0,1364867.9890589996,1.1287643499747757,1.099585,1.0,1.0,1.05,1.174892475,4.984375,0.012662960456192685,0.1125298202975224,0.09969292554290635,2.5145722142059994,20.450073542685814
CS_MAX60,1209170,0,1444900.2965150003,1.1949521543827586,1.1561033,1.0,1.0,1.0803572,1.2637362,6.4183006,0.027246908035191336,0.16506637463514892,0.1381363881639365,3.0012468427790906,35.93671701096768
CS_MIN5,1209170,0,1159051.6712912905,0.9585514619873885,0.9695238,1.0,0.46195653,0.9436223875,0.9858657,1.0,0.0015193913715119375,0.038979371102057785,0.04066487053417131,-2.0617901876330365,6.72306020018986
CS_MIN10,1209170,0,1138146.0567826198,0.9412622350725041,0.9558316,1.0,0.3802345,0.9193851,0.97902095,1.0,0.0028145922985304095,0.053052731301323305,0.05636339090693119,-1.9270241438842814,6.021344231103145
CS_MIN20,1209170,0,1109727.7937964504,0.9177599459103768,0.9373494,1.0,0.24357453,0.8860544,0.96997,1.0,0.005162712485052772,0.07185201796089496,0.07829064482610534,-1.7197400563929646,4.480927119860334
CS_MIN30,1209170,0,1089261.1932955398,0.9008337895378977,0.92382252,1.0,0.16285108,0.8619403,0.96357614,1.0,0.007239625051028313,0.08508598621998992,0.09445248081073493,-1.590050840592525,3.5638771591780474
CS_MIN60,1209170,0,1047740.5046625026,0.8664956165489572,0.8959909,1.0,0.044491366,0.81312567,0.94866073,1.0,0.012104451190902107,0.1100202308255264,0.12697147997552533,-1.4258042657307644,2.549854576320569
CS_QTLU5,1209170,0,1228216.7510356598,1.015751921595524,1.0076373,1.0,0.8278293,1.0,1.0274932,1.7314864,0.0011466558891234876,0.03386230779382125,0.03333718309942351,1.9105838263814856,9.387487236004
CS_QTLU10,1209170,0,1240397.29418566,1.0258253960862906,1.0148572,1.0,0.7222437,0.9988355,1.0450981,2.4323447,0.0027614539046874054,0.05254953762581937,0.051226590632582655,1.8666509907352982,11.780149019866538
CS_QTLU20,1209170,0,1257383.5888933397,1.0398732923355192,1.0253858,1.0,0.5203557,0.9977215575,1.0720668500000001,2.997027,0.005884918592947815,0.07671322306452659,0.07377170240831107,1.726963535514218,12.72387536950946
CS_QTLU30,1209170,0,1271055.6451674798,1.0511802684217106,1.0351217,1.0,0.45044705,0.99768114,1.0929368,3.4574544,0.008984097859325735,0.09478448111017825,0.09016957790930753,1.749693751923825,15.355804981352346
CS_QTLU60,1209170,0,1303268.0978345498,1.0778204039420014,1.0582609,1.0,0.3248798,1.0,1.139708675,6.1288342,0.0187944259224329,0.13709276393170028,0.12719444114279116,2.4854268297007898,40.60275260815655
CS_QTLD5,1209170,0,1191649.72472972,0.9855104945786946,0.9937622,1.0,0.613373,0.9741602,1.0010681,1.2972972,0.0010694158525620633,0.03270192429448248,0.03318272557661859,-1.7004690220007395,7.035607707383935
CS_QTLD10,1209170,0,1181524.7922734506,0.9771370380289377,0.9873727,1.0,0.41288945,0.957933735,1.0022663,1.4937838,0.002390585773577089,0.048893616900134204,0.0500376252227236,-1.4361291770949827,6.34710831893576
CS_QTLD20,1209170,0,1168691.5391874404,0.9665237635629733,0.98004204,1.0,0.27988607,0.9365420075,1.004272225,1.8441892,0.0048717203616191205,0.06979771028922883,0.07221520351649502,-1.1460655911680533,4.902426717348742
CS_QTLD30,1209170,0,1159823.7665921396,0.959189995279522,0.9756632700000001,1.0,0.24423431,0.92151725,1.006231175,2.2094595,0.007192009304620201,0.08480571504692476,0.08841388615840508,-1.0145490588314963,4.250527030389546
CS_QTLD60,1209170,0,1142260.4737799275,0.9446649137672349,0.9677419,1.0,0.07694723,0.89118946,1.0107586,2.8716278,0.013353275508789257,0.1155563737263733,0.12232525209975814,-0.840798656886676,3.5685730118897183
CS_RANK5,1209170,0,717006.9833333399,0.5929745059283144,0.6,0.2,0.2,0.2,0.9,1.0,0.09647216553010962,0.310599686944642,0.5237993941381873,0.03829501287997729,-1.5230920431470059
CS_RANK10,1209170,0,655822.0130953098,0.5423737051823233,0.5,0.1,0.1,0.2,0.9,1.0,0.10775665051374335,0.3282630812530452,0.60523413675207,0.03726400421527816,-1.4797357859915836
CS_RANK20,1209170,0,620420.84049255,0.5130964550001654,0.5,0.05,0.05,0.2,0.85,1.0,0.11483456226741416,0.33887248673714154,0.6604459715805916,0.06004101818449343,-1.484370813092238
CS_RANK30,1209170,0,602883.328613318,0.49859269466933354,0.46666667,0.033333335,0.033333335,0.16666667,0.8333333,1.0,0.11649967762343867,0.34132049106878815,0.6845677738923788,0.08852860407872819,-1.4772898631521267
CS_RANK60,1209170,0,575591.7606653078,0.47602219759447206,0.43333334,0.016666668,0.016666668,0.15,0.81666666,1.0,0.11656532292092486,0.341416641247794,0.7172284044170775,0.1599988055195428,-1.4421533576986503
CS_RSV5,1209170,0,580433.6790810255,0.4800265298353627,0.475,1.0,0.0,0.2173913,0.7368421,1.0,0.08558089234196774,0.2925421206287528,0.6094290678664939,0.05221241756817767,-1.247547385393707
CS_RSV10,1209170,0,573003.8082875251,0.47388192585618655,0.46385542,1.0,0.0,0.21428572,0.7297297,1.0,0.08402309117348924,0.28986736824535675,0.6116869043309442,0.07721541662571631,-1.2446704999896856
CS_RSV20,1209170,0,559502.0150021571,0.46271575957239847,0.44444445,1.0,0.0,0.20164609,0.71794873,1.0,0.08390174385380435,0.28965797736952514,0.6259954872451324,0.1315462983658566,-1.2447185291141525
CS_RSV30,1209170,0,546848.3424785512,0.45225100066868285,0.42774567,1.0,0.0,0.19266056,0.7042973625,1.0,0.08327152058159984,0.28856805190734447,0.6380705658598381,0.1808510646124794,-1.2208936897403053
CS_RSV60,1209170,0,520218.9731887578,0.4302281508710585,0.3914974,1.0,0.0,0.1809740375,0.6666667,1.0,0.07976519162162349,0.2824273209546546,0.6564594166672731,0.2966276872721222,-1.1228010853898316
CS_IMAX5,1209170,0,675800.3999999998,0.5588961022850383,0.6,0.2,0.2,0.2,0.8,1.0,0.10157272516689571,0.3187047617574857,0.5702397287339562,0.19070060851370227,-1.5375577533046902
